[00:00] 大家好，欢迎来到零到全栈系列课程，今天咱们讲现代前端的第二讲，前端构建。
[03:30] 上一节课上完
[03:32] 你其实只需要知道两个事情
[03:34] 第一个就是
[03:35] 模块化它是势在必行
[03:38] 前端技术发展到今天
[03:40] 必然走向模块化
[03:42] 第二个你需要知道的是
[03:44] 模块化改造之后
[03:46] 想要浏览网页
[03:47] 就必须得走服务器
[03:49] 但是我们想一想
[03:50] 模块化改造之后
[03:52] 就不能再双击HTML直接打开页面
[03:55] 必须要走服务器这个事
[03:57] 是不是很难受
[03:59] 其实还不止这一个
[04:01] 我觉得我们学到现在
[04:03] 在前端这一块
[04:04] 还有三个问题
[04:06] 让人比较难受
[04:07] 我们还没有解决
[04:09] 第一个
[04:09] 我们之前学基础前端
[04:12] 每次改代码的时候
[04:14] 改完之后直接刷新页面看效果
[04:16] 但是模块化改造之后
[04:18] 按照我们上一节的流程
[04:19] 每一次改代码
[04:21] 哪怕就改一个字
[04:23] 改完之后想看效果
[04:24] 都得走一次发布流程
[04:26] 提交push
[04:27] 然后登录服务器push下来
[04:29] 然后再刷新页面
[04:30] 这一轮折腾下来
[04:32] 开发体验非常的差
[04:34] 另外只是开发体验差吗
[04:36] 你有没有感觉到我们
[04:38] 这个模块化改造之后
[04:40] 我们的页面访问都变慢了
[04:42] 我给大家演示一下
[04:48] 这个可以用F12
[04:49] 或者是在这里右键显示这个检查
[04:56] 如果说这个时候我们刷新一下页面
[05:01] 我们看这个network
[05:03] 在这里面有一大串这个东西
[05:06] 这个是什么
[05:07] 这个就是我们的浏览器发起的网络请求
[05:11] 我们一个一个的看
[05:12] 这个十几个请求排成一个长队
[05:16] 光CSS就有八个文件
[05:19] 每一个都得单独走一次网络请求
[05:22] 再加上几个js
[05:24] 还有这个
[05:26] 这个是anime.js
[05:27] 浏览器得一个一个的去拿
[05:30] 大家还记得当时我们为什么要拆吗
[05:32] 我们列了很多好处
[05:34] 比如说多个文件分工明确
[05:37] 人写代码的时候
[05:38] 方便多人写作和集成
[05:40] AI写代码的时候
[05:42] 可以每次只加载必要的文件
[05:44] 有效的减少上下文
[05:46] 但是这样拆成多个文件的做法
[05:49] 对于浏览器来说
[05:51] 或者对于最终访问这个网页的用户来说
[05:54] 就不一定是个好事
[05:56] 因为网页变慢了
[05:58] 我们看这个流程
[06:00] 本来在前面200毫秒以内
[06:03] 它已经就能够请求前几个文件了
[06:06] 但是它就是会有一些文件
[06:07] 把这个请求的这个响应拖到800毫秒
[06:12] 如果我们的网站变大
[06:13] 那以后这些请求会变得越来越多
[06:17] 那这个时间线甚至有可能会超过两秒
[06:20] 好，那前面这两个问题呢，现在就摆在了我们眼前，但其实学到目前前端开发里面还有一个很糟糕的问题，那就是缓存问题。
[06:22] 那前面这两个问题
[06:24] 现在就摆在了我们眼前
[06:26] 但其实学到目前
[06:28] 前端开发里面
[06:29] 还有一个很糟糕的问题
[06:31] 那就是缓存问题
[06:33] 大家知道浏览器其实是有缓存的吗？刚才我们看到页面加载HTML文件之后还会继续去请求很多
[06:34] 其实是有缓存的吗
[06:36] 刚才我们看到
[06:37] 页面加载HTML文件之后
[06:40] 还会继续去请求
[06:41] 很多个CSS文件
[06:41] 个CSS文件是吧，还有JS文件，那什么是缓存呢？
[06:43] 还有JS文件
[06:45] 那什么是缓存
[06:47] 缓存就是如果用户请求过某一个文件了
[06:51] 浏览器就会给它存起来
[06:53] 下次用户刷新页面的时候
[06:55] 还要再去请求这个文件的时候
[06:58] 浏览器一看是一个同名的同一个文件
[07:01] 它就不再去请求了
[07:02] 直接把上一次请求的旧文件塞给用户
[07:06] 大家觉得缓存这个东西好不好
[07:07] 它也好
[07:09] 好就好在能够让用户访问网页的时候
[07:11] 感觉快一点
[07:12] 尤其是用户网络没那么好的时候
[07:15] 但是你想一想
[07:17] 如果说这个网站更新了
[07:19] 假如说我这个网站别的没变
[07:21] 别的没变
[07:22] 我就改了CSS文件里面的某一行代码
[07:25] 可能是改了一个feature
[07:26] 或者是修了一个bug
[07:27] 那这个怎么办
[07:29] 浏览器还是在用缓存
[07:31] 这个是最难受的
[07:33] 所以在早些年的时候
[07:35] 一些有经验的程序员
[07:36] 写这些CSS的时候
[07:38] 就不会把名字写的那么干净
[07:41] 我举个例子
[07:42] 可能会怎么写
[07:51] 比如说像这个layout
[07:52] 它可能就会写layout
[07:54] 然后后面再写一个时间戳
[07:58] 如果哪天它改了代码
[07:59] 那也就改一改这个时间戳
[08:01] 这么做是为了什么
[08:02] 就是为了避免更新代码之后
[08:05] 浏览器还在用缓存
[08:06] 因为刚才我们说了
[08:07] 浏览器匹配缓存的时候
[08:09] 是用文件的名字来匹配的
[08:12] 那改了代码
[08:13] 就把文件的名字也改一改
[08:14] 就不会再触发缓存了
[08:16] 这个就是缓存问题
[08:18] 当然咱们前面说的这三个问题
[08:21] 不都是模块化带来的问题
[08:23] 严格来说
[08:23] 只有第一个是模块化改造之后带来的新问题
[08:27] 第二个和模块化也有一些关系
[08:30] 因为模块化也要求代码之间尽量的解耦
[08:34] 第三个严格来说
[08:35] 不算模块化的锅
[08:37] 因为基础前端的时候也会有缓存问题
[08:37] 因为基础前端的时候也会有这个缓存问题
[08:41] 但是不管怎么说
[08:43] 我们学到今天这一步
[08:45] 就是还有这样几个痛点存在
[08:47] 让我们无论是开发体验
[08:49] 还是用户的浏览访问体验都不怎么好
[08:51] 都不怎么好
[08:52] 我们今天介绍的工具
[08:54] Vite就是专门解决这类问题的一个工具
[08:55] 就是专门解决这类问题的一个工具
[08:58] 我们分析一下
[09:00] 刚才这几个问题的背后
[09:02] 其实凸显出了一组矛盾
[09:04] 那就是工程治理
[09:06] 开发体验和用户体验
[09:09] 这三者之间的矛盾
[09:10] 工程治理的目标是什么
[09:13] 工程治理是一套治理思想和规则
[09:17] 设计这套规则的人
[09:18] 希望项目更规范
[09:20] 更安全
[09:21] 更容易维护
[09:23] 也更容易扩展
[09:24] 需要确保在承载复杂业务逻辑的时候
[09:27] 这套标准的规则一直都有效
[09:30] 而开发者希望的是什么
[09:32] 开发者希望开发过程尽可能的简单
[09:35] 顺手
[09:36] 舒服
[09:36] 浏览器和最终用户
[09:39] 那就是希望页面加载更快
[09:41] 资源更少
[09:42] 性能更高
[09:43] 但是这三个目标很多时候是互相拉扯的
[09:45] 很多时候是互相拉扯的
[09:48] 为了规范可能会牺牲一点开发的便利
[09:49] 可能会牺牲一点开发的便利
[09:52] 为了开发的便利
[09:53] 又有可能会影响运行的效率
[09:56] 为了运行的效率
[09:58] 又可能需要增加更多的工程规则
[10:01] 那有没有一种办法
[10:02] 能够让这三方都尽量满意
[10:05] 这就是构建工具所做的事情
[10:08] 工程治理
[10:09] 比如说我respect你的规矩
[10:12] 开发者
[10:12] 那你看一看你怎么样比较方便
[10:15] 我来满足你
[10:16] 浏览器
[10:17] 你想要啥样的资源
[10:18] 我来负责把开发者写出来的源码
[10:20] 转成你想要的样子
[10:22] 这个过程就叫做前端构建
[10:25] 这一类工具
[10:26] 就叫做构建工具
[10:28] Build2
[10:29] 那我们看构建工具能做什么
[10:32] 第一
[10:33] 它能够在我们本地起一个服务
[10:36] 浏览器
[10:36] 也是通过HTTP来访问
[10:39] 但是
[10:40] 不需要发布到远程服务器上
[10:42] 并且
[10:43] 如果改代码
[10:44] 改完只要一保存
[10:46] 浏览器自己就更新了
[10:47] 你甚至都不需要点浏览器的刷新按钮
[10:50] 而且
[10:51] 它这个更新是秒级的
[10:53] 特别快
[10:54] 这个特性有个专门的名字
[10:56] 就叫做热更新
[10:57] 我们一会儿亲眼看一看
[10:59] 第二个
[11:00] 就它可以把许多文件合并成一个
[11:04] 我们写的时候分开写
[11:07] 八个十个一百个没问题
[11:07] 8个10个100个没问题
[11:09] 但是给到浏览器的时候
[11:11] 它帮我们尽可能的把这些碎文件合在一起
[11:15] 比如说8个CSS给我们合成一个
[11:18] 浏览器本来要发8次请求的
[11:21] 现在呢一个请求就搞定
[11:23] 第三
[11:24] 它可以给我们的文件自动的加一段指纹
[11:28] 这个指纹的专业叫法是哈希
[11:30] 文件内容只要一变
[11:32] 这个指纹就变
[11:33] 文件名呢那也跟着变
[11:35] 浏览器一看名字不一样了
[11:38] 它就不用缓存了
[11:39] 开发者也不需要自己徒手
[11:41] 给这个代码加这个时间戳了
[11:43] 这三件事是不是就完美切中了
[11:47] 刚才我们说的那三个痛点
[11:49] 所以构建工具在现代前端中
[11:53] 它扮演了非常重要的角色
[11:55] 构建工具有不少
[11:57] 早些年比较知名的有webpack
[12:00] 但是最近几年最流行的已经不是它了
[12:04] 现在前端开发的首选构建工具叫Vite
[12:08] 这个单词有些小伙伴可能会念成vet
[12:12] 按照英文发音的这个习惯
[12:14] 就读vet
[12:14] 就读Vite
[12:16] 但它其实是个法语词
[12:18] 在法语里面读Vite
[12:20] 你可能会觉得
[12:22] 这个是个法国人做的工具
[12:24] 但其实不是
[12:25] Vite的作者是中国人
[12:27] 尤雨溪先生
[12:28] 我们构建工具选Vite
[12:30] 并不只是因为Vite是中国人做的
[12:33] 更是因为Vite现在已经是
[12:34] Vite现在已经是前端构建工具中
[12:36] 前端构建工具中最优秀的存在了
[12:38] 最优秀的存在了
[12:39] 用流行的话来说
[12:41] 就是最夯的一个
[12:42] 那接下来
[12:43] 我们要做的就是把Vite
[12:45] 请进我们的项目
[12:47] 但是安装Vite之前
[12:49] 咱们还得做一些前置的工作
[12:51] 为什么
[12:52] 因为Vite这个工具
[12:54] 它自己也是需要一个运行环境的
[12:57] 怎么运行Vite
[12:58] 是这样的
[12:59] Vite本身是用JavaScript写的
[13:02] 我们课程前几节遇到的JavaScript脚本
[13:05] 一直都是在浏览器里面跑的
[13:08] 但Vite它不是一个网页脚本
[13:11] 它是一个命令行工具
[13:13] 它得在浏览器之外
[13:15] 也就是我们自己的电脑上跑起来
[13:17] 那问题就来了
[13:19] 谁来运行它
[13:20] 我打个你可能熟悉的比方
[13:22] 你要运行一个Python文件
[13:25] 那是不是得先在电脑上安装Python
[13:27] 或者说你要打开一个Excel文件
[13:30] 你得先装Excel这个软件
[13:32] 同样的道理
[13:33] 你要想在浏览器之外运行JavaScript脚本
[13:37] 或者是用JavaScript写的工具
[13:40] 那你就得装一个东西
[13:41] 叫做Node.js
[13:44] 所以Node.js就是让JavaScript跳出浏览器
[13:48] 在我们自己电脑上直接跑的运行环境
[13:52] 装了它
[13:53] Vite这种用JS写的命令行工具
[13:56] 才能跑得起来
[13:57] 那我们接下来就把Node装上
[14:00] 安装Node怎么装
[14:06] 这个我已经打开了
[14:07] 就是NodeJS.org
[14:09] 这个就是node的官网
[14:11] 如果说你进入到这个页面之后
[14:15] 在这里点这个获取node.js按钮
[14:19] 然后呢就会跳到这个页面
[14:21] 这里面呢有两种安装方式
[14:23] 上面呢给的是命令行的安装方式
[14:26] 下面有一个这个桌面程序的安装方式
[14:29] 我建议大家就用这个就行
[14:31] 如果说你是用mac
[14:33] mac的m系列芯片
[14:35] 或者是最近刚出不久的这个a系列芯片
[14:38] 那就选这个ARM64
[14:40] 如果是早期的Mac
[14:42] 就是用Intel芯片的
[14:42] 就是用英特尔芯片的
[14:44] 那就选这个X64
[14:46] 如果是Windows也是一样
[14:48] ARM芯片的就选ARM64
[14:51] 英特尔芯片的就选这个X64
[14:51] Intel芯片的就选这个X64
[14:53] 但是你在前面先选择操作系统
[14:56] 然后后面再去选择这个芯片架构
[14:59] 安装方式也很简单
[15:01] 就你先把这个下载下来
[15:03] 然后一路的点这个下一步
[15:06] 还有如果是在Linux上面装
[15:08] 比如说在Ubuntu上
[15:10] 也可以用apt装
[15:12] 就跟我们之前装nginx一个路子
[15:14] 如果你想不起来了
[15:15] 你也可以去问一问AI
[15:16] 装完之后就在终端里面
[15:19] 确认一下是否安装成功
[15:21] 这个我们不装了
[15:22] 因为node我已经装过了
[15:24] 我们可以看一看
[15:26] 就是我们如何确认
[15:28] 就是当安装完之后
[15:29] 我们如何确认已经安装了
[15:31] 怎么确认
[15:32] 用这个node -v
[15:36] 我们能够看到这里面
[15:38] 输出一个版本
[15:38] 然后再确认一下
[15:40] npm -v
[15:43] 也能够看到一个版本
[15:44] 这个就说明我们的node.js装成功了
[15:48] 而且node这个东西
[15:50] 这一次装好
[15:51] 以后所有的项目都能用
[15:54] 不用每个项目都装一遍
[15:55] 这里你可能注意到了
[15:57] 我敲了一个node -v
[16:00] 又敲了一个npm -v
[16:01] 刚才我们已经解释过node是干什么了
[16:05] 那这个npm是哪来的
[16:07] 它是跟着node一起装上来的
[16:10] 如果说你刚才装了node
[16:12] 那么这个npm不需要你单独装
[16:15] 这个npm就是我们接下来要讲的一个重要的工具
[16:20] 它是个啥
[16:24] 你可以先把它理解成一个JavaScript的应用商店
[16:28] 这个比喻
[16:29] 你应该已经比较熟悉了
[16:31] 咱们在Ubuntu上是不是用那个apt
[16:35] 就是那个apt
[16:36] apt install nginx
[16:38] apt install git
[16:40] 用这个apt去装nginx装git
[16:40] 用这个apt去装nginx装git
[16:44] 那apt就是那个应用商店
[16:46] 它帮我们把现成的软件装到系统里面
[16:49] npm干的是一样的事
[16:51] 只不过
[16:52] 它装的是各种现成的js工具和库
[16:55] 咱们待会要用的Vite
[16:58] 就用npm来装
[17:00] 注意
[17:00] 我刚才说
[17:02] 你先把npm理解成一个应用商店
[17:05] 我为什么要强调这个先字
[17:08] 因为NPM其实还不止是个应用商店
[17:11] 它还有别的本事
[17:12] 这个我们等一会再说
[17:14] 虽然NPM和Apt都是应用商店
[17:18] 但是它俩有一个很重要的不一样的地方
[17:20] 这个你要了解一下
[17:22] Apt它是给整台电脑装东西
[17:25] 你装一个nginx那是全系统都能用
[17:28] 整台机器就这一份
[17:29] 但是NPM默认的是给当前这一个项目装东西的
[17:34] 什么意思
[17:35] 就是说这个项目
[17:37] 比如说用anime的4.4版本
[17:39] 那个项目用anime的3.0版本
[17:42] 两边各装各的互不打架
[17:44] 每个项目
[17:45] 自己管自己的一套
[17:47] 正是因为NPM是按项目来管的
[17:50] 所以
[17:50] 我们在用它之前
[17:52] 得明确的告诉它
[17:54] 这儿有一个项目需要用到NPM
[17:56] 这个动作
[17:58] 专业的说法就叫做初始化
[18:01] 那接下来
[18:02] 我们就在我们的Zero2Tech项目里面
[18:02] 我们就在我们的zero2tech项目里面
[18:05] 去初始化一个NPM
[18:08] 那我们回到我们的
[18:11] zero2tech项目
[18:14] 把这两个先给隐藏掉
[18:17] 这个就是zero2tech项目
[18:19] 我们上节课刚刚对它进行过
[18:22] 模块化的改造
[18:23] 那我们接下来就用
[18:26] 这个终端进入到
[18:28] 这个项目的根目录里面
[18:31] 就是这个项目的根目录里面
[18:32] cd zero2tech
[18:35] 看我们现在已经在这里了
[18:38] 就在当前的这个目录里面
[18:41] 我们执行 npm init -y
[18:47] 用这个命令就可以去进行一个npm的初始化
[18:51] 我们在这一边初始化
[18:53] 我们一边去观察这个项目的目录
[18:58] 好现在初始化完成了
[19:00] 那我们有没有注意到
[19:02] 就是初始化之后
[19:04] 在这里面多出来了一个文件
[19:07] 叫做package.json
[19:09] 我把这个收起来
[19:10] 这个也收起来
[19:11] 对这个呢就是新增的一个文件
[19:15] 这个文件是干嘛的
[19:16] 这个package.json
[19:18] 你就把它理解成
[19:19] 这个项目的npm账本
[19:22] 或者说档案
[19:24] 以后npm给这个项目装了什么东西
[19:27] 装了什么东西
[19:28] 这个项目呢能跑哪些命令
[19:29] 能跑哪些命令
[19:30] 全都记在这个里头
[19:32] 这个文件的后缀名
[19:34] 是.json
[19:36] 这是我们在这个课程中
[19:38] 第一次见到这个后缀的文件
[19:40] 那我们就先介绍一下这种文件格式
[19:46] JSON呢是一种承载数据的格式
[19:49] 这种语法很简单
[19:50] 最外面呢是一个大括号
[19:54] 里面呢就是名字和对应的值
[19:57] 这种呢也叫做键值对
[19:59] 用冒号隔开
[20:00] 冒号前面的叫见
[20:01] 冒号后面的叫值
[20:03] 值呢也支持嵌套
[20:05] 就像这个
[20:06] 就是一个值可以是一个大括号扩起来的
[20:06] 就是以一个值可以是一个大括号扩起来的
[20:10] 其他的键值对
[20:11] 这种语法是很简单
[20:13] 人一眼就能读懂
[20:15] 也方便计算机程序去解析
[20:17] 所以有许许多多的程序
[20:20] 都用它来存数据传数据
[20:23] 虽然咱们不要求写代码
[20:25] 但是这个JSON格式的语法
[20:28] 我建议你学一学
[20:29] 其实学起来也很快
[20:31] 但是有一个地方我要提醒一下
[20:33] 就是很多初学者总会在这个逗号上犯错误
[20:38] 它是这样的
[20:40] 它每一项结尾的时候都会有一个逗号
[20:43] 但是如果是大括号里面的最后一项
[20:47] 就不需要逗号
[20:48] 比如说这个address这个大括号
[20:52] 它最后一项是不是这个邮政编码
[20:54] 但是你看它后面就没有逗号
[20:56] 另外还有外面的这个大括号
[20:58] 它总共有四项
[21:00] 那第四项就是address
[21:02] 所以address后面的这个大括号后面
[21:07] 它就没有逗号
[21:08] 这个地方你注意一下就行了
[21:10] 那我们再回到刚才那个命令
[21:13] 刚才我们执行的是
[21:19] 这个npm init -y
[21:21] 这个npm init它干了什么事
[21:24] 它背后有什么黑魔法吗
[21:26] 其实没有
[21:26] 它唯一干的事
[21:28] 就是生成这么一个package.json
[21:31] 实际上你刚才如果不去执行
[21:34] 这个npm in needs
[21:36] 你也完全可以自己手动
[21:38] 新建一个这样的文件
[21:39] 那效果是一样的
[21:40] 另外呢就是
[21:41] 我刚才在后面加这个-y
[21:43] 其实也是图省事
[21:45] 让他顺手
[21:46] 把几个默认值替我填好
[21:48] 那我们看一眼
[21:49] 这个package.json里头
[21:51] 他写了啥
[21:52] 咱们一个一个看
[21:53] 重点呢是搞清楚
[21:54] 哪些要管
[21:55] 哪些不要管
[21:56] 那这里面真正有价值的是什么
[21:59] 其实啊就两个
[22:01] 一个是这个name
[22:02] 就是这个名字
[22:03] 我们的项目叫啥名
[22:05] 它默认呢就去拿这个项目文件夹的名字
[22:08] 我们的项目就叫zero2tech
[22:11] 所以它就拿了这个
[22:12] 如果你是在zero2tech这个目录下创建的
[22:15] 你看到的也应该是这个zero2tech这个名字
[22:18] 你可以理解它
[22:19] 但是这个东西
[22:20] 对咱们项目来说不太关键
[22:22] 另一个呢是这个version
[22:22] 另一个呢是这个version
[22:24] 这个是项目自己的版本号
[22:25] 默认呢是1.0.0
[22:27] 你想改呢也可以随便改
[22:29] 不改也没事
[22:30] 这个也不太关键
[22:32] 那剩下这一堆
[22:34] 像什么description
[22:36] 这个man
[22:37] 还有包括这下面的这些
[22:39] 这些我不打算挨根细讲
[22:43] 因为对咱们这个项目来说
[22:45] 他们全都用不上
[22:47] 要么是给那些将来要把这个项目
[22:49] 发布成一个npm包的人准备的
[22:52] 要么呢就是一个默认的站位
[22:54] 那既然用不上
[22:56] 咱们其实可以干脆把它们给删掉
[22:58] 这个package.json
[23:00] 就是一个普通的配置文件
[23:02] 手动改它删它也完全都没有问题
[23:05] npm也不要求这些字段非得在
[23:08] 所以像这些咱们都可以给它删了
[23:16] 这个script咱们留着
[23:18] 这个等一会有用
[23:20] 你看最后一项的这个逗号
[23:22] 就可以给它删掉了
[23:23] 没有用
[23:26] 然后像这个man
[23:29] 我们也给它删掉
[23:30] 包括这个description也没有用
[23:34] 那我们就留这么多
[23:36] 这个name version
[23:36] 这个name variant刚才已经解释过了
[23:38] 刚才已经解释过了
[23:39] 这个scripts是什么
[23:41] 这个等会儿我跟大家说
[23:42] 现在也先不用管它
[23:44] 只需要这个样子保存
[23:46] 注意这个scripts
[23:48] 这个大括号后面刚才是有一个逗号的
[23:49] 刚才是有一个逗号的
[23:51] 因为它是最后一项
[23:53] 所以这个逗号我们也给它删掉
[23:54] 我们也给它删掉
[23:55] 删掉之后这个语法才是合法的
[23:57] 这个语法才是合法的
[23:59] 要不然它可能会报错
[24:00] 那删完之后
[24:02] 这个就很容易理解了
[24:04] 基本上可以理解
[24:05] 它现在就是一个空的东西
[24:07] 没有寄什么有用的信息
[24:09] 但是别急
[24:10] 等一下我们真的用npm安装东西的时候
[24:13] npm
[24:14] 它会往这个package.json文件里面
[24:18] 记录一些有用的信息
[24:20] 那我们就开始安装吧
[24:22] 安装Vite怎么装
[24:24] 我们也是用这个终端clear
[24:33] 再确认一下
[24:34] 现在我们就在这个项目的根部录里面
[24:37] 我们执行一个什么命令
[24:41] 就这个npm install -Dvit
[24:46] 我们就在这输
[24:46] 我们就在这说
[24:50] 大写的dvit
[24:53] 那这里面这个d
[24:55] 这个我介绍一下
[24:58] 它的意思是
[24:59] 把这个Vite装成一个开发依赖
[25:02] 这是什么意思
[25:04] 是这样的
[25:04] 就我们用npm装的东西
[25:07] 实际上分为两类
[25:08] 一类
[25:09] 就是在这个项目里面
[25:10] 帮我们干活的工具
[25:12] 另一类
[25:13] 是真正的会变成我们网站里面依赖的一些东西
[25:17] 就第一类干活的工具
[25:19] 就像这个Vite
[25:20] 它有点像我们盖房子的时候用的脚手架
[25:23] 它帮我们去把活干完
[25:26] 但是它本身不会变成这个房子的一部分
[25:29] 咱们最后上线的网站里面
[25:31] 是没有Vite的
[25:32] 这种脚手架性质的装的时候就加这个D
[25:37] 那第二类
[25:38] 是网站里面依赖的东西
[25:39] 比如说网站依赖的第三方动画库
[25:42] 那个就不是脚手架了
[25:44] 那个是盖房子的砖
[25:45] 它会跟着房子一起上线
[25:48] 这种砖的时候就不加这个D
[25:50] 这个我们等会讲
[25:50] 这个我们等会儿讲
[25:51] 总之如果是装Vite
[25:54] 就是这个npm install
[25:55] 大写的D
[25:57] 然后Vite
[26:00] 我们输入完之后回车
[26:03] 接下来注意看这里
[26:06] 看到没
[26:07] 它现在变了
[26:08] 它变了什么
[26:10] 首先我们看
[26:11] 它多出来了一个叫做
[26:13] node_modules的这一个目录
[26:16] 第二
[26:17] 它还多出来一个叫做
[26:18] package lock.json
[26:20] 这样的一个文件
[26:21] 而且其实你有没有注意到
[26:24] 我们这个package.json
[26:27] 它也发生了变化
[26:29] 刚才我们删的时候
[26:31] 删的只剩下
[26:32] name version和这个scripts了
[26:35] 但是现在又多出来一项
[26:37] 这个dev dependencies
[26:39] 这里头
[26:40] 记着一个Vite
[26:42] 还有一个版本号
[26:43] 这一段
[26:43] 这一段就是npm自动帮我们加的
[26:44] 就是NPM自动帮我们加的
[26:48] 刚才不是说package.json
[26:49] 这个package.json
[26:50] 它是帮NPM记账吗
[26:52] 这就是它记的内容
[26:53] 那这就是它记的内容
[26:54] 这一句的意思
[26:54] 这一句的意思就是说
[26:55] 就是说
[26:56] 这个项目用了Vite
[26:58] Vite的这个版本
[26:58] Vite的版本
[27:00] 至于package-lock.json
[27:00] 至于这个package-lock.json
[27:02] 它的作用
[27:02] 它的作用是
[27:03] 是把这次实际装的每个包的精确版本
[27:07] 一笔一笔的锁死
[27:09] 这是为了确保以后
[27:10] 我们再去重新安装依赖的时候
[27:12] 这个时候装出来的东西也能跟现在一模一样
[27:16] 因为它记录了所有的包的具体版本
[27:21] 这个呢很多你不用去读懂它
[27:22] 很多你不用去读懂它
[27:24] 你知道它干的是锁死版本
[27:26] 这个事就可以了
[27:28] 而且呢你还要了解一下
[27:29] 就是它最终是要被提交到Git的
[27:32] 这就够了
[27:32] 那Vite装完了之后
[27:34] Vite被装到哪里去了
[27:36] 就是装在了这个node_modules下面
[27:39] 那我们也看一看
[27:40] 刚才我们说
[27:41] 就是我们安装的这些东西
[27:43] 会被装在这个node_modules
[27:45] 这个目录下面
[27:46] 那所以刚才我们执行了
[27:48] 那个npm install -D Vite之后
[27:51] 就把Vite连同Vite所有依赖的
[27:53] 所有依赖的一大堆别的包
[27:54] 一大堆别的包全部都下载
[27:56] 全部都下载
[27:57] 然后堆在这里面了
[27:58] 这个文件呢通常特别大
[28:00] 然后里面文件也很多
[28:02] 一般情况下我们不会去翻它
[28:04] 你只需要知道
[28:05] 你只需要知道用npm装的东西
[28:06] 用npm装的东西
[28:07] 都在这个下面就行了
[28:09] 但是从学习的角度出发
[28:12] 咱们还是仔细看一看
[28:13] 这里面你可能会有一个问题
[28:15] 就是我就装了一个Vite
[28:17] 那为什么这个node_modules
[28:19] 下面有这么多东西
[28:21] 这是因为Vite
[28:23] 它自己也依赖别的包
[28:25] 那别的包又依赖别的包
[28:28] 一层一层
[28:29] 牵连进来就一大串
[28:30] 所有依赖的包
[28:32] 都会装到这个node_modules目录下
[28:35] 我们可以看一看
[28:37] 有一个网站
[28:41] 这个
[28:42] 这个 npm graphs.js.org
[28:45] 在这个网站上我们输入Vite
[28:46] 在这个网站上
