[00:00] 大家好今天我们讲会话这个是很重要的知识同时呢也非常的有意思我们看这个页面文字实
[12:59] 再pwd然后他就又回到了甲母录刚才cd到哪他就不记得了这个刚才的状态就丢了
[13:08] 好退出来有状态跟无状态这两种方式没有绝对的好只有合适
[13:16] 不合适我们看这个对照表大家看这张表两边面对的情况完全不同ssh他面对的是少量的
[13:24] 长时间的要连续性的这种连接http呢他一般面对的是海量的极短的彼此无关的请
[13:32] 求所以ssh就应该是有状态的如果说我们每次敲一条命令都得报一遍我是谁我在哪个目录那根本
[13:40] 就没法用所以ssh必须一直维持着这个现场那http能不能也维持现场呢如果
[13:48] 让他也维持服务器就得为每一个来访者都存一份现场数据就会出现三个问题第一个问题如果
[13:57] 同时来万人就得存一百万份现场数据内存会先撑不住第二呢是如果某
[14:05] 一个用户他和服务端的一台机器建立了连接那他后续的请求必须得回到同一台机器上因为
[14:14] 现场只在那一台里面如果流量突然变大要临时加机器扛流量做负载均衡就很难办还有
[14:22] 上面说的这台机器如果他挂了那在他上面的所有人的现场就都没了如果是无状态就
[14:30] 没有这些问题无状态的话任何一台服务器都能处理任何一个请求机器就可以随便夹随便换挂了一
[14:38] 台可以用其他的顶上用户就完全没有感觉所以无状态它不是http的缺陷是他针
[14:46] 对海量陌生请求这样的一个场景做的一个刻意选择互联网能扩张到今天这个规模很大
[14:55] 程度上就是靠这个那代价就是记住来访者这件事协议就不管了得由我们
[15:03] 在应用层去管我们自己想办法这也就是我们这一节要干的活在应用里面保持状态这件事之所以
[15:11] 重要是因为人类的活动几乎没有任何一件事是孤立的瞬间全都是有前因后果的过程只要
[15:19] 是过程就需要状态需要记着刚才发生了什么那这个矛盾就出现了技术底层要的是效
[15:27] 率和规模每一个请求彼此独立他才能自由扩展所以呢他倾向于遗忘人的活动要
[15:35] 的是意义和连接事情有前因后果才要做事吗所以他需要记忆而且这两边谁都不能让
[15:43] 步如果HTTP这一层变成有状态的那内存扛不住没法负载均衡刚才我们聊过了但要是没有
[15:51] 记忆那互联网就只能做文档网站就不会诞生像电商游戏社交媒体这些形态了所以只剩下一
[15:59] 条路那就是接受HTTP底层它就是无状态的然后用尽可能小的代价把状态重
[16:08] 新长出来大家注意是尽可能小的代价它是接下来我们所有设计的出发点我们不需要把
[16:16] 整个现场或者说所有的状态数据都放在每个请求里面去我们只需要想办法让服务器认出这是同
[16:24] 一个人就够了至于这个人的状态数据可以存到数据它就放在数据库里面那具体到我们的这个项
[16:32] 目这个文字实验室该怎么样把状态长回来呢看这个图我们这样做首先是浏览器向
[16:40] 服务端这边发送一个请求的时候注意是第一次发请求的时候比如说分析一句话今晚月色
[16:48] 真美服务器干嘛呢它先给这个访客生成一个ID然后用pypinyin、SnowNLP
[16:57] 分析完之后再发一个结果是吧接下来不是要存数据库吗而且还要给用户一个分析结果作为响应无
[17:05] 论是存数据库还是给响应都带着这个ID现在浏览器那边也收到这个ID了是
[17:13] 吧假如说这个用户通过浏览器再来请求服务器就继续带着这个ID以后每次
[17:21] 都带着这个ID服务器这边一看是带着ID的就不再生成新的ID了如果用户请求的是提起一个新的句子那就
[17:30] 继续带着ID存到数据库如果用户的请求是查看历史记录那就用这个ID到数据库里面查这样
[17:38] 就只能查到这个用户自己存的历史记录有了这个ID用户的多次这些无状态的请求是不是就联
[17:46] 系起来了这个过程就有点像存包裹对不对我把包裹给到存包柜台柜台给我存起来
[17:54] 之后编一个号然后给我一张纸纸上就写了这个号以后我拿着这个纸用这个号就可以来取
[18:02] 包裹柜台这个人他根本就不需要认识我他认识那个号就可以在计算机里面这个就叫做会话也叫
[18:10] Session会话的定义就是把一连串本来彼此独立互不相干的请求认定为同一个来访
[18:19] 者的一次连续交互所谓保持会话就是我们自己想办法把这些无状态的请求给串起来所以这个
[18:27] ID就很重要我们对ID有三个要求第一它得是唯一的不能和别人的ID撞上要不然就会串号看到
[18:35] 别人的历史第二是每次请求都得带着如果漏带了服务端就会认为这是陌生人第三是
[18:44] 不能被人猜出来要是能被猜到别人就能冒充我们的会话让服务器生成一个唯一的又不容易被
[18:52] 猜到的标识这个并不难有现成的方法等会我给大家看另一个原因一个问题是这个ID通
[19:00] 过http在浏览器和服务器之间传递用什么方式呢大家想一想http
[19:08] 都传什么请求行请求头然后请求体然后再拿回来这个状态行响应
[19:17] 头响应体对吧一般就是用请求头我们原来学http的时候见过一对请求头不知道大家还记
[19:25] 不记得就是这一对cookie和Set-Cookie在响应头里面是这个setc
[19:33] ookie它的意思是给调用方发一张小纸条下次来的时候记得带上而在请求头里面这个成
[19:41] 对的叫cookie意思是我随身带的小纸条它俩就是这么配合的就是服务端通过setcookie这个
[19:49] 响应头交给浏览器一串文字然后浏览器收到之后它会存着以后每次通过http发请求
[19:57] 的时候自动塞到这个库
[20:00] cookie这个请求头里面发给服务端注意哈这个是浏览器自动发过去的我们不用管这个
[20:08] 就是cookie的价值你要是说在浏览器里面存一些信息那有很多方法都可以存比如说什么localstoragesession
[20:16] storage还有各种storage但只有这个cookie它是自动的所以cookie很适合用来做这件事用
[20:25] 它在浏览器和服务器之间传递标识就能实现会话的保持cookie现在大家也明白了是不是session呢刚才咱
[20:33] 们也讲了这儿我得停下来说这俩概念因为总有人问cookie和session的区别这个问题
[20:41] 还经常拿来做面试题但是大家发现了吗它们压根就不是同一类东西section也就是会话它
[20:49] 是一种认定就是把多次请求认定为同一个来访者的连续交互它是一
[20:57] 对关系不是一个物件但是cookie它是一套机制就是浏览器替服务器保
[21:05] 管一小块数据是吧并且在每次请求的时候自动带上这个是实打实的东西它有位置有大小
[21:13] cookie还有效期这俩一个是概念一个是工具它们真正的关联的机制就是如果一个用户在浏
[21:21] 览器上通过http请求服务端服务端如果要维护这一次会话就给这个会话生成
[21:30] 一个id一般就会叫做session_id然后setcookie这个响应头里面装的就是这个session_id明白
[21:38] 了吧最后还有两个点要说一下第一个是cookie里面放的不一定是sessionid你可以往里面写任
[21:46] 何东西比如说网站的主题偏好语言设置cookie它就是一张小纸条所以你在上面写什么都行第二
[21:54] 是会话不一定非得靠cookie比如说手机app里面就没有cookie在手机app上一般也是生成一个
[22:02] sessionid但是它把sessionid放在自定义的请求头里面这个请求头一般会叫做token它们的道
[22:11] 理是一样的无论是叫cookie还是token只要能在两边传递这个id就能够保持会话好那上面这些都理解
[22:19] 了我们就可以着手改造项目了整个项目的改造其实我们要做的就是三件事第一
[22:27] 是在服务端这边要改造请求的处理逻辑就当用户来的时候它要生成一个会话id就是
[22:35] sessionid并且呢这个id需要为一猜不出是吧这个刚才咱们也说过第二件事呢就是
[22:43] 给数据库加一个字段这样的话呢状态数据在存到数据库的时候就可以存这个id
[22:51] 最后就是能够通过cookie让这个id在浏览器和服务器之间去传递
[22:59] 好接下来我们分别看一下怎么做先看这个会话id吧这个id呢它需要符合唯一和猜不出这两个
[23:07] 条件遇到这种情况我们可以用一个东西叫做uuiduuid是什么呢它会随机生成一串几乎不会
[23:15] 重复的乱码我给大家看一下import
[23:26] uuid然后uuid.uuid看到
[23:35] 了吗这样就生成了我连续多跑几次大家看
[23:44] 每一次都不一样刚才我说几乎不会重复是因为出现重复的uuid的概率极低
[23:53] 大家可以认为它其实就是不会重复有人说过一个比喻就是说两个uuid重复的概率约等于随
[24:01] 手往宇宙里面扔一粒沙子然后从宇宙的另一端再扔一粒这两粒沙子在太空里面相撞的概
[24:09] 率这么说可能不一定严谨但是基本上就是这种感觉说完全不会重复吧理论上不成立但是说可能
[24:17] 会重复吧概率又低到可以忽略另外大家也看出来了吗我们用Python生成一个唯一id这件
[24:25] 事真的很轻松Python标准库里面就有这些概率这个uuid模块一行代码就能搞定所以很简
[24:33] 单这个uuid生成的东西很适合当sessionid但是我们还得把它写到cookie里面去
[24:42] 那写的时候不是往里面写一个sessionid就完事了真正写出来的时候是一串这样的东
[24:50] 西大家看这一串不只有这个sessionid后面还有用分号隔开的好几样东西看
[24:58] 上去都是字符串但是他们其实分两类最前面的这个sessionid这个是cookie的内容一个
[25:06] 名字配一个值它就是浏览器要送回到服务器的信息那后面四个叫做属性他们是写给
[25:15] 浏览器看的设置我们一个一个认识一下首先是这个max_age这个最重要它决定了
[25:23] cookie的有效期是多久单位呢是秒这个
[25:29] 就是三十天
[25:34] *
[25:35] 这个数字可以改但是不能不写不写的话呢它就成了一张临时纸条就是浏览器一关就没了然后这个ht
[25:44] tp-only和这个seam-set这两个呢都和安全有关至于怎么安全呢这个一两句话也说不
[25:52] 清大家先别管那么细写上就行然后这个path这个意思是站点下的锁所有路径
[26:00] 请求的时候都带上这个cookie这个是默认值等下写代码的时候呢也不需要我们操心上面所有的这些东西
[26:08] 等会儿动手的时候呢FastAPI都有现成的方法写我们也不用担心自己不会写对于我们来说呢最重要的是能够
[26:16] 看懂它们是啥另外还有一个事儿就是在浏览器和服务器之间让cookie来回传送按说
[26:24] 这个是一个很自然的事儿是吧刚才我们也说了浏览器会自动带上cookie但是有条件浏览器有条
[26:32] 安全规则就是跨源请求默认就不带cookie我们的前后端端口不一样所以是跨源的前
[26:40] 面有一节我们专门讲过跨源学过这个CORS这一点呢我们已经知道了那现在我们跨源了这怎么
[26:48] 办呢别担心这个也可以配前后端都需要配置一下配置完成呢就能够让浏览器支持跨源请求带c
[26:57] ookie这个配起来也很简单后端这一侧加一个参数然后呢前端这一侧就发请求的时候加个声明两
[27:05] 头都ok了然后cookie就能够在两边传递好分析的差不多了那接下来开始动手吧我们先搞定跨源
[27:13] 的问题这个前后端都得改我们先改后端给这个给
[27:21] 这个中间键组一个参数这个呢可以在我们课间网站里里面复制到找
[27:30] 到这一节的内容补的就是
[27:40] 这个就在中间键里面添加这样的一行复制就
[27:49] 加这一行这一行的意思就是后端允许跨
[27:58] 源的前端带cookie过来了然后再改前端前端给两个地方首先呢是这个InputCard
[28:06] 这里边发请求的这一步然后怎么改呢我们也从这个课简网站里面找在这个
[28:14] headers和body的中间然后插入这么一行诶
[28:26] 搞定然后是这个
[28:28] TextLabView然后去找到在这儿怎么改
[28:37] 看这里就是在这个后面给它加上这样的一串东西找
[28:45] 到它保存这个openHistory这个
[28:53] 函数它就是点开弹窗的时候拉历史数据的那个前端要改的呢也已经改完了就这两处它的意思就是说每
[29:01] 次发请求都指明说要带上凭证这里面我得提醒一句哈这两处一个都不能漏就是
[29:09] 这两个地方都得改漏了就会非常难查好那这些改完呢就解决了跨源带cookie的问题我们
[29:17] 再接着看数据库怎么改好现在呢我们打开这个storage.py
[29:26] 数据库的定义是写在这儿的对不对我们得先把initdb里面这两句sql给它重写一下注意
[29:34] 哈键表语句和键索引的语句今天都要改我们也是直接从课件里面复制代码找
[29:42] 到这个直接复制然后等一下覆盖这个原来的initd
[29:50] b
[29:58] 響鐘
[30:00] 改了什么呢首先键表这边就是加了一个字段sessionid它的类型是
[30:08] text这一列呢等会儿就用来放id索引这边呢从原来的那个按
[30:16] 照created_at去建索引现在改成了按照这个sessionid和created_at这两个字段来去
[30:25] 建索引这样改完之后如果执行这个键表语句那么表里面就会有sessionid这个
[30:33] 字段了如果执行这个创建索引的语句索引也就是基于这两个字段来去建了但是这两个语句现在
[30:41] 是不会执行的为什么呢因为这里面有条件就是都是ifnotexist这个
[30:49] 也是表不在的时候才会去执行这个键表语句索引不在的时候才会去执行建索引的语
[30:57] 句现在表和索引都有那就不会执行怎么办呢最省事的办法就是把这个
[31:05] backend下面的这个history.db给它删掉我们现在里面也就几条数据这点数据不值钱从头
[31:14] 来过呢最简单删了之后表和索引就都属于是notexist我们把它给删了然后
[31:23] 我们再重启后端
[31:30] 我们把它重启一下
[31:40] 然后这个时候再生成的这个数据库里面的那个表就是按照新的语句去创建了里面也会有
[31:48] 一个这样的新的索引这一步就改完了但是这里呢我要专门说一下就是为什么索引也得跟着换因为以前我们
[31:56] 查询啊就是按照创建时间查了啊不会查这个sessionid也没有sessionid吧那会儿但是
[32:05] 我们今天就会改了就改成按照sessionid来查最近的记录这样呢就用到了两个不同的字段所以
[32:13] 索引呢就得写成这种这种方式同时管住两个字段而且这个顺序也有讲究
[32:21] 就是先写用来筛选的字段然后再写用来排序的字段这样的数据库就先用session
[32:29] id定位到属于这个会话的那一段然后再按照时间去排那这个数据库就改完了下一
[32:37] 步呢我们回到服务端搞那个uuid和cookie进到这里面因为这个东西属于是
[32:45] 接口层嘛所以要改这个main.py我们还是从课件网站里面去复制在
[32:54] 这里顶部呢先是import一个uuid然后再
[33:02] 从fastAPI里面引入这个request和response先把这两行给复制了进到
[33:10] 这里这一个
[33:19] 没必要这样写两个就直接在这写一个逗号注意如果你想写逗号的话需要写
[33:27] 英文的逗号
[33:29] 就是给这个fastAPIimport里面然后添加两个一个是request一个是response然后再复制什么
[33:37] 呢再复制这个get_session_id这样的一个函数我们可以
[33:47] 把它写到这个地方这个
[33:55] uuid这一行它就是用来写这个request和response的函数它就是用来写这个request和response的函
[33:57] 数它就是用来写这个request和response的函数它就是用来写这个request和response的函数它就是用来
[33:58] 写这个request和response的函数它就是用来写这个request和response的函数它就是用来写这个request
[33:58] 和response的函数它就是用来写这个request和response的函数生成uuid的然后呢这个response.
[34:03] setcookie它就是干嘛呢就是往响应头里面写cookie的大家看啊这里面除了这个session
[34:11] id它还有这个htponly和这个simsat以及maxage这些参数这个刚才我们都说过
[34:19] 的还有一个刚才我们看过的一个path没写那个是不用写的它是默认参数我们不写它也在所以整个这个函数
[34:27] 的逻辑就很直白就是它会先看请求过来cookie里面有没有sessionidif
[34:36] not那就如果没有就发一张新的如果有了就不发了就这么简单好然后我们
[34:44] 再回到这个storage.py因为我们刚才只是改了表的结构接下来我们还要改一个
[34:52] 东西就是存和查的时候都要去认sessionid现在它们是不认的嘛那怎么改呢我们先改存
[35:00] 的这一部分回到课件网站找到这个查和存都得认是吧先改
[35:09] 这个save_record保存
[35:23] 这个意思也就是说每次存的时候调用方都得交代一下就是这条记录属于哪个sessionid就
[35:31] 哪个会话insert里面呢也相对应的多了一个sessionid字段那这里也就多了一个问
[35:39] 号好接下来我们再改这个gethistory这个我们的VSCode都已经识别到了就是它现在
[35:47] 想要帮我们去加一个这样的东西但是我们还是从这个课件网站里面去复制
[35:54] 把这个gethistory也给它覆盖了保
[36:03] 存我们看这个它的逻辑也是一样
[36:11] 这是在干嘛哦它提示我这里可以
[36:19] 改了算了我先不改我们还是先回到
[36:25] 我们还是先回到这个storage.py这个
[36:33] VSCode太智能了搞得讲课都有点麻烦这个呢它也是多了一个sessionid
[36:41] 每次取的时候呢调用方也得说明取的是哪一个会话的历史然后呢SQL里面也是就是
[36:50] 有where这里有一个sessionid这样呢它每次查数据库的时候都会按照这个sessionid去查就不会一下子把全部
[36:58] 的数据都给查出来好下一步就是我们的接口然后在这里面我们的接
[37:06] 口也得去认人这里面接口呢其实有一个是做分析的然后有一个是取这个
[37:14] history的我们就改这两个接口也从这里面去拿我把这两个一起复制
[37:22] 吧
[37:24] analyze和history把他们一块给改了保
[37:33] 存这俩接口里面呢现在都掉了这个getSessionID就刚才我们定
[37:41] 义的那个发纸条的那个函数也就是说无论是存数据还是取数据我都得知道现在是哪个绘
[37:49] 画那这一步做完今天的改造工作就完成了如果说你对刚才这几步里面这些代码具体做了什么感
[37:57] 兴趣你可以阅读我们这个课件我们这个课件的写的比较详细有很多细碎的知识点我没有展开讲但是
[38:05] 课件里面有写比如说这个比如说这个limit改了位置之类的然后现在我们可以这样调这些
[38:14] 有兴趣大家可以来这里读今天咱们的主要讲的还是会话我们继续关注到我们的这个
[38:22] 项目里面来接下来我们就来验证一下我们改完之后有什么变化先不用急着打开那个浏览器我们
[38:30] 先用最朴素的方式然后亲眼看一看就刚才的那个setcookie这个响应头我们
[38:39] 可以直接从这个课件里面去复制这个curl命令就从
[38:47] 这里吧
[38:54] 看一下看到了吗setcookie这个就是发回来的响应头就是
[39:03] 所谓的后端再向前端发纸条我们交代过这几样东西啊就是sessionid然后
[39:11] 后面的几个属性就都在了所以啊你看所谓的cookie本质上就是通过http传
[39:19] 输的这样的一行字符串它没有什么魔法如果说我把同一个字符串同一条命令我连续跑两次能看到这个
[39:27] sessionid是不一样的为什么呢因为crawl它默认是不存cookie的所以我们第二次
[39:35] 去调的时候也就不会给服务器带cookie那服务器呢就会把它当做新的访客就又给一个新的那再
[39:43] 来一次那就又来一个新的只有浏览器才会自动带cookie那我们就去看浏览器好
[39:51] 接下来呢我们打开浏览器打开我们的这个项目刷新一下
[40:00] 分析一句今晚月色真美然后查看历史记录
[40:08] 就能够查看到这样的一条信息然后呢我们右键这个放大
[40:17] 一点就是右键检查然后打开这个找到什么呢找到这里面有
[40:25] 一个application如果说你在这里设置了中文它应该显示的是应用你看在这里
[40:33] 面这里有一个叫storage它下面就会有一个叫做cookie的我们点它进去
[40:41] 看到了吗这里面就列了一些东西其中有一个就是这个sessionid我们把这个拉大一点
[40:50] 这里面还有一些那个不知道是什么的但是主要的我们就关注这个sessionid然后
[40:58] 我们切到这个network这个里面我们刷新一下然后呢点开这个
[41:06] 历史记录接下来我们在这看什么呢看这个requestheaders在这里
[41:15] 面就能够看到这个cookie我们往下面找在这里面会有这个sessionid当然
[41:23] 啊你说这里面怎么有这么多很长的这些东西这些呢就是其实我们不用管它有的是那个
[41:32] 我们的框架自动生成的我们关注的就是我们自己写的这个这个sessionid现在我们的这个请求发出去我们
[41:40] 请求history这个接口那浏览器就是在自动帮我们带这个sessionid但是这几个属性就是
[41:48] 刚才这几个属性它是不会带的它就只会带这个我们往里面写的内容因为属性是写给浏
[41:56] 览器的设置因为浏览器收下它自己照办就完了没必要再报回去服务器要的其实就是只有这个
[42:04] 号现在到了检验成果的时候了还记得我们开头的时候的那个做的那个实验吗我们原封不动的再做
[42:13] 一遍仍然是这个打开一个这个浏览器然后呢我们
[42:21] 再打开一个这个浏览器都是文字实验室
[42:29] Chrome这里面呢我们分析一句今天天气真好然后点
[42:37] 开始分析这里面呢我们分析一句这个电影真好看好
[42:47] 那我们去看历史记录他的历史记录今天天气真好就还有刚才我们分析
[42:55] 的那一句然后我们再看这个历史记录这个电影真好看所以现在这两个浏览器他们就可以各看
[43:04] 各的如果我们这个应用现在上线的话那么每个访客就只能够看到自己的历史记录了OK那我们这个
[43:12] 文字实验室到现在为止按照我们课程的设计是已经把它开发完了但是请注意做
[43:20] 到这一步呢我们只是用cookie实现了会话我们还是区分不了访客的因为只依赖cookie还是比
[43:28] 较脆弱的比如说换一台电脑或者是同一台电脑换个浏览器就不是同一个会话了甚至说如果你在浏
[43:36] 览器里面手动把cookie给清空了或者是天以后cookie过期了那这个会话也就丢了真正
[43:44] 的用户身份认证呢还需要在这套会话机制上的再加一层要搞注册登录然后密码
[43:52] 安全还要搞什么忘记密码甚至还得做验证码之类的那个呢有机会我们后面介绍一下但是无论认证体
[44:01] 系有多复杂它都会需要用到我们今天讲的这套会话机制作为基础所以今天讲的这些东西真的很
[44:09] 重要最后我再解答一个问题就是我们前面说的那个大模型的问题刚才我们
[44:17] 已经看了那个大模型是没有状态的是吧那大模型它
[44:25] 怎么保持会话呢它保持会话的方式和我们今天讲的这一套就完全不同了但是呢它更容易理解我给你看
[44:33] 一段代码你就明白了看明白了
[44:42] 吗主要看这几行如果说你没有看明白你就再想一想刚才我们
[44:50] 演示大模型无状态的时候我们先后问了两句话是吧第一句我们说我的名字叫
[44:58] 李博你记着然后呢大模型当时就回复就说好的李博我记住了然后很高兴认识你我有什么可以帮你的之类的然后
[45:07] 我再问我的名字叫什么他就忘了是吧想要让他不忘那就在我问我叫什么名
[45:15] 字这句话的时候把前面的对话给带上然后呢大家看这个message这个
[45:23] 数组它现在里面有四条这一条呢是模板里面自带的就是它的role是system这个也
[45:31] 叫做System Prompt然后呢重点是下面这三条第一条就是我们最早问的然后呢这个role
[45:39] 是user就是我们是用户嘛第二条是他上次回的然后这个rule是assistant这个就代
