[00:00] 哈喽大家好不知不觉从我们五月份开始发布零到全栈的第一个视频到现在呢已经快要两
[05:03] 带有TextLab的URL那么这个请求首先会发给谁呢我们看一看首先这个请
[05:11] 求是会发给这个nginx那nginx的逻辑是什么呢nginx的逻辑是在服务器的
[05:19] dist目录下找我们请求的那个文件我们看一看它的配置
[05:28] 在这里
[05:48] 呢可以看到它的地址是dist然后在这里面找资源那就是找我们的这个TextLab那
[05:56] 我们去看一看这个这个TextLab它下面有什么这里面哪里有这个
[06:04] TextLab吗它就只有一个index.html和这个assets这就导致什么呢这就导致我们
[06:13] 其实必须要先从index.html这个入口进来进来之后才能实现
[06:21] 点导航的跳转我们不能直接去请求这个TextLab这个页面因为这个页面其实是这个J
[06:29] S在浏览器里面现化出来的而这个JS呢它其实是需要依赖index.html把它
[06:37] 给加载进来的所以这个情况下我们直接去请求这个地址它就是会请求不到那这是第一个问题第二个首屏其实
[06:45] 是会慢一点因为我们在Vanilla项目中浏览器拿到HTML直接就可以渲染呈现出来了但是现在
[06:54] 需要分几步就是先拿到index.html然后再获取JS然后再画出来
[07:02] 那有朋友说老师这个不是也挺快的吗比如说我们在这里去刷新一下可以看到sorry比如
[07:10] 说我们在这里刷新一下这个页面可以看到大概毫秒以内就可以把这三个资源都加
[07:18] 载回来但是并不是总是如此而且还有就是我们现在的页面真的很简单里面也没有图片它也不需要下载
[07:26] 字体什么的如果说网站大一些那么这个速度慢的问题就会有一个非常明显的感知这是第二
[07:35] 个第三个问题是对于SEO不友好那SEO是什么呢就是搜索引
[07:43] 擎优化说白了就是让GoogleBing百度这样的搜索引擎能够抓得到也能够看得懂我们网页的内
[07:51] 容搜索引擎会派爬虫来抓我们的页面但是很多爬虫它是不执行JS爬虫可能就是对我们的
[08:00] 网址做一次请求拿到什么就是什么那如果爬虫访问我们现在的网站比如说它就执行了
[08:08] 第一步这个时候它就只能拿回来一个空壳的index.html里面啥内容都没有这个时候在爬虫的眼里
[08:16] 我们这个就是个空页面搜索引擎自然也给不了好的排名这三个问题看起来是三件事其实
[08:24] 是同一个病根我们的页面不是一个真实存在的文件而是浏览器临时
[08:33] 根据这个JS去算出来的或者说去画出来的那从根上至办法其实也很直接
[08:41] 就是别让浏览器临时算了我们提前把每一页都画好存成一个真实的ht
[08:49] ml文件现在我们的项目里面有两个页面嘛那就把这两个页面都分别画出来就像最
[08:57] 初的Vanilla项目那样就把HTML画好摆在服务器上这样一来呢用户请求TextLab
[09:05] 真的就有文件了就不会再报用户一次拿到画好的页面就不用再等待第二步加载
[09:13] JS然后在个浏览器里面再画了速度也快了爬虫也是爬虫直接就能够读到内容这样的话呢对SEO
[09:21] 也友好这样的话三个问题就一起解决这件事呢我们可以基于React框架再去改这样也不是
[09:30] 不行但是会很麻烦现在就有个框架来管这个事这个就是这一节的主角Next.
[09:37] jsNext.js呢它是React之上的一个生产级框架这句话怎么
[09:45] 理解呢React管的是什么它管的是组件这一层而Next.js呢是在React
[09:53] 的基础上再加一层它管的是那些组件之外跟我们整个web应用相关的
[10:00] 上线必须的事比如说刚才我们提到的路由SEO首屏速度这些所以它跟Re
[10:08] act是一个相互配合的关系我们看这张图这里是三层最底下是工程化的那一
[10:16] 层它管的是依赖构建命令这些就是我们一直在敲的像npm installNPM
[10:24] rundev这些中间是React它管的就是组件最上面这个是Next.
[10:31] js它就是做了很多和用户体验相关的优化不过我们不要被所谓生产级框架这个名词给唬
[10:39] 住了我们初学者对于Next.js的能力的理解可以归到两件事上第一件是路由
[10:47] 就是哪个网址应该显示哪一页用Next.js的路由方案替代上一节我们自己写路
[10:55] 由的图办法第二呢是把页面预先渲染成真实的HTML也就是
[11:04] 尽可能的在服务器上先画好HTML文件用户浏览器呢访问的时候直接就把HTML给到
[11:12] 浏览器避免浏览器拿到JS之后再去做渲染这样呢正好就可以解决前面我们说的几个问题嘛就是
[11:20] SEO啊加载速度啊那些问题有一些人呢是为了路由功能才入坑的Next.
[11:26] js不过路由只是Next.js它比较显眼的一个功能预渲染成真实的HT
[11:34] ML这个才是它作为生产级框架的看家本事那你可能会问在Next.js出现之前
[11:43] 这些问题是怎么解决的呢不可能说Next.js出现之前这些问题就不存在对吧那如果说不用
[11:51] Next.js在路由这一块我们上一节是手搓了一个小路由并且我们也提到过业界有现成的库
[12:00] 比如说reactrouter但是不管是手搓还是用这个reactrouter都没有解决在
[12:08] 浏览器里面临时渲染页面这个根本问题如果以前想要提前在服务器上把React写
[12:16] 的组件先渲染成html得自己搭一个node服务差不多就是自己去模拟一个客户端
[12:24] 浏览器的环境也是非常麻烦Next.js的出现呢就把这摊脏活用一套约定帮我们
[12:32] 标准化自动化的做了这个就是Next.js它作为生产级框架的价值我们看一看
[12:40] 一个真实的Next.js项目这一节呢我们也有配套的demo-tech-如果你
[12:48] 本地已经有这个demo项目了你直接可以gitpull一下就把这一节的拉下来这个demo里面呢就是用到了ne
[12:56] xt.js框架的littletag项目我们看一下它和我们没有用next.
[13:02] js框架的那个老项目有什么区别好我们就打开我们
[13:10] 的那个老的项目吧这个
[13:19] 是旧的项目就是我们上一节提交的那个我们给他放在左边
[13:34] 这么大应该可以了好然后我们再进入到我们的DirecttoTechDemo
[13:42] 这个项目先拉一下好我们先进到.里面
[13:52] 好然后我们先对比什么呢我们先对比它们两个的package
[14:01] .json好
[14:18] 首先我们看它们的dependencies在Next的项目里面呢这里面就依赖了一个叫做Next然后我们
[14:27] 再看这个scripts这一块在scripts这一块呢前两个命令它们的名字还一样
[14:35] Dev和BuildDev和Build但是执行这两个命令的程序发生了
[14:43] 变化在这个Next的项目里面它执行Dev的已经不是Vite了而是换成了Next然后
[14:51] build也是换成了next而且以前的preview这个命令现在没有了换成了一个叫做start然后
[14:59] 执行的是nextstart不过这俩名字虽然说不一样但是干的活差不多那Vite哪
[15:07] 去了呢next.js它自带了一整套的构建工具它就没有用Vite了在next.
[15:14] js的项目里面构建这摊活被next接管了但是这并不代表Vite过时了在大量的没有
[15:23] 用next的项目里面Vite呢依然是首选好我们把这个demo跑起来首先
[15:35] 第一步我们是要npm install把ela给装
[15:44] 上然后npm rundev好
[15:52] 这个地方请注意哦next.js的它的默认端口已经不是
[15:58] 了变成了
[15:59] 这样其实挺好的
[16:02] 呢是一个实境制的整数嘛这个更好记那我们就访问一下这个URL
[16:14] 看到了吧一模一样不过有些同学可能有个疑问发现这个
[16:22] 左下角有一个圆的东西这个是什么呢这个是Next.js它提供的一个辅助开发的工具用dev命令跑
[16:30] 的时候呢它就会出现平时它也是不声不响但是如果我们的代码出错了它就可以把它错误标注出来我
[16:38] 演示一下假如说我们就在这里面改点东西改什么
[16:47] 比如说我们就在这里面改吧把这个比如说在
[16:56] 这里写一个好然后你看到这里面它就把这个issue给报出
[17:04] 来了然后告诉你哪里写错了这个东西在vibe coding的时候挺好用的因为你如果遇到了报错直接就按这个
[17:12] 然后把这一串内容给复制出来给到AI就可以了这个还是一个挺好用的小工具的那我们
[17:20] 就把这个代码再给改回去好现在已经OK了接下来呢我们再看点
[17:28] 别的我们看这两个项目它的这个
[17:37] 目录结构首先在我们的这个next.js项目里面这个
[17:45] src目录就已经没有了原来呢这里面的这个app超级大组件和原来的这个入口文
[17:54] 件main包括上一节我们手搓的这个小路由router这几个在这个项目里面都没有了原来s
[18:02] rc目录下面的这三个目录现在呢就都从src下面直接去到了这个项目的根目录里面
[18:10] 直接铺在这里对吧CSSComponents和这个Data而且呢现在多了一个App这个App目录下面
[18:18] 呢有这样几个文件一个是这个Page一个是Layout还有一个TextLab这样的一个
[18:26] 文件夹里面放了一个Page这个App目录就是Next.js帮我们管理路由的方式
[18:34] 它用这个文件夹来去组织路由你看啊这个app下面的page对应
[18:42] 的呢就是网站的跟路径那app下面的textlab下面的这个page它对应的
[18:50] 就是textlab这一页那也就是说有一个page文件你把它摆在哪个文件夹下面它就是用哪个网址来
[18:58] 访问那以后如果我们想加一个新页面呢就在这个app下面再新建一个文件夹里面
[19:07] 也像这样去放一个page就完事了只要这个文件是按照这个路径去放的
[19:15] 对应的URL呢就能访问到它这个就是框架的一个约定它跟我们约好了文件夹结构就是
[19:24] 网站结构我们呢就按照这个约定来去组织我们的代码文件就不用写配置了这个呢就叫做
[19:32] 约定优于配置那page里面写什么呢我们可以看一下这个TextLabPage它里面的内容其实
[19:40] 这个内容呢就这么几行它的意思呢就是说TextLab这个
[19:49] 网址对应呢就是这个TextLabView这一个组件就干这么一件事当然
[19:57] 我们其实也可以在这里面写一些别的
[20:00] 不过呢一般还是建议让这个Page文件更纯粹一些你如果让AI帮你写呢AI很可能呢也是把这个
[20:08] 文件写的很清爽另外呢还有这个Layout这个呢它和Page是一对的放在
[20:16] 一起它是给那个Page提供样式的这个也是你知道就行了那文件
[20:24] 夹的结构和路由看明白了我们就再翻一翻这个Components
[20:34] 这个Components和大致上和我们以前的这个Components目录是差不多的
[20:42] 你像这个AnimatedCardGrid在这个里面也能够找到对应的包括这个Imp
[20:51] ortCardNavResultCardPageHeading但是有两个组件的名字改了一个是我们原来
[20:59] 的这个HomePage在这边呢叫做HomeView另外一个呢是原来的这个ResultCard在这
[21:07] 边呢叫做不是ResultCard是这个TextLabPage在这边呢叫做TextLabView除了名字改了
[21:15] 之外呢组件的写法也有点不一样但是呢我们不讲语法嘛所以呢Demo里面组件写法的变化我们
[21:23] 就不展开了只不过有一个地方挺关键这个我们得详细看一看我们先看我们的老项目像这
[21:32] 些组件我们一个一个打开看它的顶部最上面这个顶部要么
[21:40] 就是ImportImport要么呢就是Export所有
[21:48] 的这些都是就是第一行要么是Import要么是Export那我们新的这个项目呢我们去看
[21:56] 一看它的组件的内容
[22:00] 这个你看它第一行就是一个叫做UseClient这个
[22:08] 又没有这个呢也有一个UseClient这个也有那这个是
[22:17] 什么呢有的有的没有是什么意思呢我们把他们对比一下规律就出来了我们看这个slide有
[22:25] 这个UseClient是这几个NavInputCardReaderCard和这个Animated
[22:33] Category这几个有个共同点就是它们全都是要在浏览器里面动起来的比如说这个它是要管导航高
[22:42] 亮的那你鼠标点击它的那个对应的页面名字要高亮起来像这个打字技术也是
[22:50] 随着用户的输入它需要动起来入场动画也是然后卡片飞入也是所以这些写了UseClient它要么
[22:58] 是动画要么就是要根据用户的行为进行动态的变化那没有UseClient这一组呢是这几
[23:06] 个这个HomeView然后TextLabView这两个是页面嘛还有这个PageHeading还有这个App
[23:14] 下面的这几个页面文件它们要么就是做纯展示的要么它只是把别的组件摆在一起自己是不
[23:22] 带任何交互的这表示什么呢这些不带UseClient声明的NextMore会把页
[23:30] 面显示成HTML或者说会把组件掀在服务器或者说构建的时候就渲染成HT
[23:39] ML这样的组件当用户发起请求的时候服务器就可以直接把现成的HTML发给浏
[23:47] 览器这种在服务器端就画好的组件有个正式的名称叫做服务端组件在React里面
[23:55] 呢也叫做RSCReactServerComponents这些都是说的预渲染成真实文件然后首屏加
[24:03] 载更快对SEO友好这些靠的其实就是它内容在服务器就画好了浏览器拿到的
[24:11] 直接就是带内容的HTML不用再去等JS到浏览器里面再去现化但是呢像打
[24:19] 字啊点击的效果以及动画这些呢它就只能在浏览器里面发生一个组件如果说要用到这
[24:27] 类得在浏览器里面跑的东西它就在顶上写一行UseClient把自己标成一个客户端组
[24:36] 件这种客户端组件呢英文就叫做ClientComponent但是请注意哈客户端组件并不是说在服务器端就
[24:44] 完全不渲染了它的意思呢是要把那些动态的需要在浏览器里面跑一遍的JS代码发给浏
[24:52] 览器去跑所以呢这个UseClient它就是一个声明区分出来这个组件是服务端组件还是客户
[25:00] 端组件你不用学怎么写也不用纠结某个组件呢到底应该归哪边现在呢写代码也都是AI写
[25:08] 嘛所以你只要认得这行UseClient知道呢它大概是在说什么这就够了好那这就是两边
[25:16] 的关键区别好现在呢我们试着构建一下这个Next.js项目我们
[25:24] 先把原来的服务给停掉npm runBuild好
[25:34] 构建完呢看到这一句预渲染静态内容它就是在告诉我们哈这个根路
[25:42] 径和这个TextLab路径都已经被预渲染成了真实的静态内容并且呢它还帮我们多绘制了
[25:50] 一个就是当页面找不到的时候应该给什么样的页面的这样的一个NOTFOUND那我们来看一看打开项
[25:58] 目里面这个next然后serverapp看到没这里面
[26:06] 呢就直接就有了这个index.htmltext-lab.html这个时候呢textlab.
[26:13] html就真真实实的躺在这了这个呢就是我们开头说的Next.js呢它替我们把页面呢从浏览
[26:21] 器临时算的变成了实打实的html文件不过这里呢我得留个扣子现在我们这个这个
[26:29] 用npm runbuild去构建出来的这个产物啊它跟我们上一节用那个vitbuild
[26:38] 产生出来的那个dist它还是有点不一样的它不像dist那样可以直接的丢给Nginx就完事那这是怎么回事
[26:46] 呢以及如果说跟那个dist不一样我们该怎么部署呢关于部署啊我们下一节讲部署的时候再
[26:54] 说如果说你想现在先跑一下这个构建出来的产物也行那就是用这个
[27:03] npm runstart好已经启动了也是这个这个地址我们
[27:11] 看一下都已经有了好你看如果说我们用npm runstart它那个
[27:20] 用于调试的圆圈就已经没了好这个呢就是我们用构建之后的资
[27:28] 源去跑起来的一个服务我们可以在本地访问好的那现在
[27:36] 呢我们已经可以看懂nextjs这个项目下面的这个目录结构了接下来呢我们
[27:45] 还是改造我们的这个课程项目就是这个但是这一次啊我们就不再一个文件一个
[27:53] 文件的往这边搬了我们直接来个痛快的把我们这个老项目里面这些文件就整体的都
[28:01] 换成这个新的demo项目里面的文件那具体怎么做呢我们把这个以前的这个项目里面哈这些文
[28:09] 件除了那个隐藏的.git之外呢其他的东西全部都删掉就从这里一直选到
[28:17] 这里右键删除好这个时候我们看一下它这里面还剩什么还
[28:26] 剩一个呢剩一个.git是吧还有这个这个呢本来也没啥用这个大家都已经知道
[28:34] 了这是Mac自己往这个文件夹里面写入的这个东西我们我们把它删了吧这个是
[28:42] Mac上我觉得最讨厌的东西好现在就只剩下一个.git了我们
[28:50] 为什么要留着这个.git呢是因为它记载着就当前我们这个仓库跟github之间的连接还有
[28:58] 我们历史的全部的提交所以只要有它在我们这个仓库就还是我们从小带到大的那个项
[29:07] 目它的远程地址啊历史记录啊都在这个.git里面一个都没有丢然后呢我们把这个我们
[29:16] 把这个里面这些文件就全部都复制过了但是注意
[29:24] 最上面这两个可以不用这个vscode的它其实是为了把这个上面下面染成绿色所以
[29:32] 才建的我们就没必要它这个呢是刚才我们build的去构建的产物吗所以呢我们就把从这里
[29:41] 到这里的这些我们就给它复制copy然后在
[29:49] 这里去粘贴好其实这个也没有必要因为这个大家
[29:57] 也都知道这个如果你用一次那个npm
[30:00] 就把它给装回来了我们把它也删了吧对其实这些就是我们应该考进来的东西好现在呢我们就把以前的这个老的这个给停掉了验证一下
[30:18] 这个已经不存在了对吧好那我们的这个demo已经完成了它的历史使命了
[30:27] 我们现在就用我们改造好的这个项目先运行一下npm install
[30:35] 好接下来呢我们就去执行一下npm run
[30:44] 好我们再看一看这个已经可以
[30:52] 了网站呢还是原来的那个网站然后点击效果都还在没有变
[31:00] 所以最后呢就可以做这个提交了我们打开GitHubDesktop然后写这一节的内容就是
[31:09] 项目从React升级到Next.js框架
[31:17] 好Commit我们先不用去push啊然后服
[31:25] 务器那边呢它怎么样改成跑Next.js项目呢这个是我们下一节的课题好最后我们
[31:34] 做一个补充啊这一节我们走的是把一个已有的项目搬成Next.js因为我们手上正好有这么
[31:42] 一个一路养大的toTag嘛我们舍不得扔是吧但是你以后如果要是想从去建一个全
[31:50] 新的Next项目的话其实不用这么折腾用这样的一行命令就可以搞定我给大家展示一下比如
[31:59] 说我们在我们的这个项目录里面
[32:07] 我们就执行这个npmcreatenextapp首先输
[32:16] 入y然后接下来呢他让我们这个输入一个名字嘛那我们就可以输myne
[32:25] xt他问我们要不要用这个默认值嘛你看这里面其实有写的默认的默认
[32:33] 的一些配置默认是用那个TypeScript然后默认也用这个Tailwind CSS这个如果
[32:41] 说大家是用AI编程的话建议就用他推荐的这个这里面的也顺带的让大家认识一个
[32:49] 词就是这个Tailwind CSS这个是什么呢它是现在最流行的一个样式方案你不用现在去
[32:57] 学它但是你要认得它如果是让AI帮你写前端那我就建议用这个Tailwind CSS我们
[33:06] 这个demo里面没有用到这个telwindcss是为了让它外貌呢跟前面的一模一样所以我们继续用了我们
[33:14] 一路带过来的那一套css哪天你想换的话呢可以让AI帮你把这个样式换成这个Tailwind CSS好接下
[33:22] 来呢如果我们在这里点回车然后呢他就会把这个样式换成这个Tailwind CSS它就可以直接帮我们初始化一个next.
[33:30] js的项目然后里面呢需要用到的依赖比如说React啊或者是next.
[33:36] js啊它就已经都帮我们安装好了好这个时间有点慢我们就不等它了我们这一节课
[33:44] 呢就到这了我们回顾一下next.js呢它是React之上的一个生产级的框架React管的是什么
[33:53] 呢管的是组件然后next呢管的是这个telwindcss管的是组件之外的上线必须的事儿这一节的核心就这
[34:01] 两个点第一个文件夹就是路由这个是React的一个约定优于配置的规则我们就
[34:09] 用这种像app下面textlab然后里面有page只要是按照这样的结构放这个page我们的这个网站
[34:17] 就可以通过url里面写这个textlab去访问到这个page不用注册也不用配置这样呢就不
[34:25] 再用app那个超级大组件了也不用再去手搓小路由了第二个呢是页面的预渲
[34:33] 染npm runbuild它把每一页呢都输出成真正的文件这样的话
[34:41] 让首屏可以更快对SEO也更加友好那我们下一节呢就把这个完整的next.
[34:49] js项目部署上线放到我们那台ubuntu的原主机上用nginx来指向它咱们下期再见下一节见
