[00:00] 大家好今天咱们讲现代前端的第三讲React这个前端开发框架我们先
[19:28] 下也建一个srccomponents这样的一个目录然后呢把它放进去这里新建
[19:36] newfolder然后src在这个src下面
[19:45] 再去新建一个foldercomponents然后
[19:54] 我们就把这个组件呢这个组件放在它下面
[20:00] 怎么 Ctrl+C 复制然后怎么 Ctrl+V好
[20:09] ResultCard.jsx确认好已经复制过来了那接下来怎么用呢这个地方你
[20:17] 注意一下这个ResultCard这个文件它就是组件本身它定义了这个卡片组件
[20:25] 是什么以及它长什么样但是它自己不会自动的跑到任何的页面上去那谁负责把它放
[20:33] 到页面上呢我们还得新建一个文件放在就放在这个src下面随便命名我们就叫它result.
[20:42] jsx好注意啊它没有放
[20:50] 在这个components下面它是直接放在了这个src下面跟这个components是同级的这个文
[20:58] 件干什么事呢它就是把这个ResultCard这个组件挂到HTML里面的
[21:06] 某一个位置这种负责把组件挂上页面的文件有一个名字我们就叫它入口文件你可以
[21:14] 理解为从HTML进入React的入口也可以理解为从React进入我们项目的入口那它的内
[21:22] 容很简单我们可以看一下这个课件里面的写法就这么
[21:33] 几行复制你可以从课件里面看其实也可以从我们
[21:41] 的这个其实也可以从我们的这个里面看就是我们这个demo里面这个demo的rem
[21:49] ix里面我们要做的每一个步骤其实这里面也都有写比如说刚才这个ResultCard.
[21:57] jsx这个入口文件在这里也可以复制一样的我们把它内容复制进去你
[22:05] 不用读懂这里面写的是啥我可以直接告诉你它就是把这个Result
[22:14] Card这个组件然后先import进来是吧然后去页面上在页面上呢去找到一个名字
[22:22] 叫做result-root这样的一个元素或者说这么一个位置然后把组件挂进去所以呢我们到现在为止新增
[22:30] 的这俩组件他们俩的分工啊就是组件负责是什么入口文件负责挂哪
[22:38] 那挂哪呢我们要挂到TextLab这个页面上所以呢我们得先在这个TextLab
[22:46] 这个页面上面呢给这个组件腾个位置那这个页面上原来定义的结果区在哪呢原来定义的结果区就是
[22:54] 这个你看这个结果区这是一段就是最外面用article标签来去包裹的一个区域对吧就是
[23:03] 这个那上面呢这个是输入区嘛输入区我们就不管我们就看这个结果
[23:11] 区把这个结果区这些部分全部都去复制然后呢不是复
[23:19] 制然后先选中然后呢再去删除删除完之后在这个地方定义一个
[23:27] 位置然后呢把那个组件挂进来现在这个位置已经清空了我们接下来往里面
[23:35] 写入一段东西写什么呢我们也可以去看这里面改之前
[23:45] 就是这个article吗改之后变成了一行就是这一行我们把它复制过来对
[23:59] 改之后就只剩这一行了然后呢在底部原来写了一个这个引入了一个叫做main.
[24:07] js嘛这一行我们不动我们在下面再去添加一行添加什么呢添加这一行就是原来是
[24:15] 引入一个这个原来是引入一个js文件嘛那现在呢就在下面再给他添加一行就是这个好
[24:30] 改完之后现在呢这个组件我们项目里面也已经有了并且呢也有入口文件把它挂到html里
[24:38] 面了并且呢html这个文件里面呢也给他腾出来了位置让他挂好那现在我们就可以跑起来看一看
[24:47] 哦，现在已经是在跑着的是吧那我们就直接可以去看一看这个页面了当当，
[24:54] 看到没现在的这个结果区就已经是用React来去实现的了当然现在页面的其他
[25:03] 部分啊还是vanilla的写法就只是这个组件是用React来写的只不过现在有个小问题啊就是这两个卡片高
[25:11] 度现在有点不一样这个等一下我们会处理好那这里面有一个小细节啊就是这个ResultCard它现在的样式
[25:19] 是谁来定义的呢比如说这个卡片的圆角这些文字的大小这个呢目前还是
[25:27] 要靠外面的这个全局HTML挂进来的那些全局的CSS来去定义React里面
[25:35] 只需要跟原来的HTML标签一样的去写这些样式对应的类名就可以了这个和我们
[25:44] 原来讲HTML和CSS的时候的逻辑是一样的我们打开这个组件
[25:53] 啊就是这个ResultCard来看一下这个呢就是一个React组件这个像什么呢这个就好像是把HTML和JS写
[26:01] 到一起了你看下面是HTML标签嘛中间这里是JS动画并且呢这里面写的这些classname也
[26:10] 就关联到了CSS里面定义的样式其实你也可以把样式的定义就是那些CSS的部分写到这个组件
[26:18] 里面但是一般我们不这么做因为样式这个东西啊一般还是要在更全局的层面做才比较好放在
[26:26] 全局去定义的话呢样式一改整个项目就一起改所以一句话总结就是一个组件
[26:34] 就是把这些数据结构样式行为这一整套收进同一个文件然后封装成一个
[26:42] 能够独立拎走的UI单元再加上他自带的这个importexport他要什么东西
[26:51] 呢就自己进口然后呢把自己去交出去这就好像是一个项目的一个零件那这就是
[26:59] React的地基接下来我们整个项目都可以拿这种零件去打出来好一个零件呢我们看
[27:07] 明白了现在是一个项目中同时有vanilla写法和这个React组件但是这个只是
[27:15] 我们作为学习来用真正的项目开发中你别这样要么就是纯vanilla要么就是纯框架因为
[27:24] 这种两掺的状态其实是提高了复杂度这样就可能导致一些小问题比如说你看我们的
[27:33] 这个两张卡片的高度现在还不太一样这个是两掺带来的一个小别扭当然现在也并非不能解决只不
[27:41] 过等一下我们整页都要改成React那它自然就好了所以我们就先不管它还有一个不知道你有没有
[27:49] 注意到就是现在我们去点这个开始分析这个按钮然后分数就不滚动了这个我会在下一
[27:58] 节讲现在如果你想看这个数字滚动动画你可以去刷新页面这个刷新的时候还是会滚动的好我们
[28:06] 接着改造现在除了结果卡片能改成React组件这个页面上的其他部分其实也都能拆
[28:14] 成一个给的组件我们先看一下怎么拆你看文字实验室这一页它本来就是几
[28:22] 个天然的块拼起来的顶部那条导航中间的大标题加副标题左边的
[28:30] 输入卡右边的结果卡结果卡呢刚刚已经变成了ResultCard了那另外三块也完全
[28:38] 可以改我们把顶部导航和这个Label做成一个组件叫做Nav大标题加
[28:47] 副标题呢可以做成一个PageHeading输入卡呢可以做成InputCard结
[28:55] 果卡就是已经做好的ResultCard四块零件外加一个管动画和布局的容器这个
[29:03] 也做成一个组件叫做AnimatedCardGrid把它们罩在一起那一整页到这儿呢就被拆成了一堆
[29:11] 能各自拎走的小组件注意啊像AnimatedCardGrid这类的容器组件呢也是很常见的
[29:19] 它自身没有UI元素内容但是呢它把其他的组件包进去提供一些公共的属性这种呢就
[29:27] 叫做容器组件那接下来我们怎么办就像刚才的ResultCard一样把这些组件分别挂在那个html页面里
[29:35] 面吗并不是的我们可以把现在看到的这四个组件连同他们的容器组件再拼成一个大
[29:43] 组件也就是说把整个页面的全部内容做成一个组件这个就是TextLabPage
[29:52] 组件我们可以先用它把这几块零件拼装进去然后把这个大组件
[30:01] 就是这个TextLabPage整个挂进text-lab.html本来好几个组件要一个一个
[30:09] 的挂的现在拼成一个大组件了那就只需要挂这个大组件就可以了这样一挂那这一整页HT
[30:17] ML就它缩成了一个挂载点了因为它什么都不用做了它就只需要保留一个挂载点让这个
[30:25] TextLabPage这个大组件挂进来不过你需要注意只要让React组件挂到html里面就需要一个
[30:33] 入口文件所以这里还需要一个入口文件就是画面里面灰色的这个textlab.
[30:40] jsx那这个就是我们接下来要动手做的好第一件事先从demo里面把刚才
[30:48] 的这几个组件的代码文件拷进来就是刚才拆出来那几块一个是
[30:56] input这个inputcard一个是这个nav一个是个pageheading然后
[31:04] ResultCard已经进去了嘛所以我们就不管然后还有这个容器然后最终包成的这个大组件叫text-lab
[31:12] -page我们把这几个组件复制然后呢粘贴到这个comp
[31:20] onents它下面好这些组件呢都已经放进来了另外哈原来我们的这个
[31:29] CSS还是依赖外面的这个HTML来引入的现在呢我们说这个HTML它变成了一个挂
[31:37] 载点了是吧那么我们的CSS也不让它来负责引入了React自己去引入CSS就可以那
[31:45] 我们就像这个demo文件一样直接把这个sr
[31:53] c下面的css目录直接整个复制过去放在这个src下面好
[32:02] 把这八个都拷进来原来老的这八个先不要动因为我们另外一个页面这个
[32:10] index.html还在用它好组件进来了那第二件事呢是我们前面做了这个result
[32:18] .jsx这个入口文件当时我们说它的作用是什么它是把ResultCard组
[32:26] 件挂进text-lab.html文件里面是吧现在不用挂ResultCard组
[32:34] 件了因为ResultCard现在已经被集成进TextLabPage这个大组件了所以我们直接把大组件挂
[32:42] 进去就可以了我们就可以把它删掉了
[32:48] 这个入口文件就可以删掉了删掉完之后啊我们其实还得建一个新的这个入口文件就在
[32:56] 这个下面新建一个textlab.js
[33:05] x这个新的入口文件他就是负责把TextLabPage这个大组件挂进
[33:13] text-lab.html里面的并且呢他还要把那个八个CSS文件也都给import进来我们看
[33:21] 这个我们看这个README就是这个Demos.的README这里
[33:30] 面有写textlab.jsx它完整的内容是什么直接把这个复制然后
[33:39] 放进去接下来呢我们找
[33:47] 到text-lab.html好这个我们要清理一下了原来这个
[33:55] body里面写的这些东西包括下面的这个script我们全部都给它删掉因为我们说它已经
[34:03] 塌缩成一个挂载点了它就不需要再自己管理这些标签了我们直接把它给删掉整个body全部
[34:11] 删掉然后换成什么
[34:14] 换成这么几行内容把这个复制过去你看它
[34:22] 说之后整个body里面就剩下这两行一个空的挂载
[34:31] 点然后下面加一行script它引入的就是入口文件这整个HTML就从
[34:39] 原来的页面主题退化成了挂载点对了这个head里面的这八个css
[34:47] 也都可以删了因为这个页面的css已经有这个入口文件来负责引入了好
[34:56] 到这一步我们的整个文字实验室这个html文件已经变成了React组件的挂载
[35:04] 点了然后注意啊现在我们的另外一个页面就是index.html也就是个人主页它
[35:12] 现在一个字都还没动它仍然还是原来的那个vanilla的页面这两个页面是可以共存的我们就看一下
[35:21] 这个Vite跑出来的结果看到没现在这个就是文字实
[35:30] 验室目前整个页面都是用React做的然后呢我们想要看这个个人主页的话呢我们需要把这个
[35:38] 从url里面改啊因为刚才那个你在这里去点击现在是点不了的
[35:46] 这个不用管因为我们等一下再改下一步他们就可以点了那刚才我们挂结果去之后我们看到的是什么我们看到是
[35:54] 一个页面里面有这个vanilla写法和React组件共存的情况现在我们看到的就是一个项目
[36:02] 里面有的页面是用React来去做的有的页面来用vanilla去做的那现在跑通了我们再回
[36:10] 头看一下刚才的这个大组件我们看一下这个大组件这个代码如果你看不懂
[36:18] 也没关系你只需要看一下就是它就是在里面把这些零件写进去像这个na
[36:27] v包括这个PageHeading然后InputCard、ResultCard在这里面的一块一块摆进去就
[36:35] 拼成了一个页面这里面有大写字母开头的标签也有小写字母开头的标签那小写字母开头的
[36:43] 就比如说这个article那这就还是html标签那大写字母开头的就是React组件React组件
[36:51] 都是用大写字母开头的这个是React的一个规矩另外还有啊就是你看这个ResultCard刚才我们把它
[36:59] 挂到html页面上的时候还写了一个入口文件但是把这个ResultCard挂到这个TextLab
[37:08] page下面的时候是不需要这个入口文件的你就把这个ResultCard标签写进来就行了也就是说RE
[37:16] AD组件如果是挂到HTML页面上的时候就需要写入口文件React组件如果是挂到一个
[37:24] 大的React组件的内部就不需要入口文件了好那现在我们的整个文字实验室都已经是
[37:33] React来写了那么我们接下来再进一步的改造另外一个页面就是这个个人主页我们先看一下这个页面这个
[37:41] 页面我们也可以拆比如说我们给它拆成这样的三个部分跟刚才的textlab.
[37:47] html一样我们也是把这三个小组件一起先放在一个容器组件里面最后再放到
[37:56] 一个大组件里面但是这三个小组件里面这个顶部导航和这个大标
[38:04] 题是不是和另一个页面看上去样式差不多啊尤其是这个顶部栏两边呢一模一
[38:12] 样而这个标题呢它是样子一样但是写的字不一样那能不能复用呢也是可以
[38:20] 的其实啊就包括这个容器在内两边都是一样的这些都是可以复用的那也就是说我们
[38:28] 不用再做一遍直接就复用刚才的组件的代码就可以了那我们接下来到项目里面看一看好个
[38:37] 人主页页面我们已经把它做成一个大组件了就是这个HomePage.jsx我们先把它复制
[38:45] 到我们的项目中然后我们看一下打开它看一眼
[38:53] 你看啊在这个个人主页的顶部用的也是这个nav和pageheading
[39:01] 这个跟文字实验室一样刚才我们说两边的标题里面写的字不一样对吧那这个是怎么复用的
[39:09] 我们看一下这个PageHeading这个组件它其实是把这个title和这个subtitle给空出来了
[39:18] 你要用它的时候呢你就告诉它让它显示什么喂给它什么呢它就会显示什么同样是这一个组件
[39:26] 这边title喂的是关于我文字实验室那边呢喂的是文
[39:34] 字实验室所以呢它在不同的页面里面就会显示成不同的标题这种只写一次组件两
[39:42] 个页共享的做法就是组件复用如果哪天你想改它改完这个组件之后这两个页面里
[39:50] 面都会同时生效另外这个页面里面还有什么呢还有下面这俩article我们并没有把它
[39:58] 们拆成组件就直接写在
[40:00] 在了这个homepage里头为什么不拆呢因为它俩就只在首页使用内容呢也很简单
[40:08] 你拆出去呢既换不来复用又凭空的多两个文件这样反而更碎所以啊拆组件就是
[40:16] 为了能复用以及为了让页面读着清爽不要为了拆而拆一块东西要不要单独做
[40:24] 成组件你就问这样两句话第一它会在多处用吗那第二呢是拆出去能够让页面更好
[40:33] 读吗如果这两条都不沾那就没必要拆好到这按我们上一拍的惯性你大概已经
[40:41] 想到要再写一个入口然后把这个homepage挂进这个index.html了就跟当时我们挂
[40:49] 这个TextLabPage到这个text-lab.html一样是吧但是先别急着挂我们
[40:57] 停一下看一看我们手里现在载了什么东西现在我们有两个Page组件了TextLabPage和
[41:06] 这个HomePage并且呢TextLabPage现在是依赖一个叫做textlab.
[41:12] jsx的入口文件挂在了text-lab.html里面的现在我们刚做的这个HomePage组
[41:20] 件还没挂进index.html这个呢是我们当前的项目情况好那我们这个
[41:29] 时候回想一下刚才我们说组件之间是可以嵌套的小的组件呢可以装进大的组件里
[41:37] 面那么TextLabPage和HomePage这两个大的Page组件他们自己不也是
[41:45] 组件吗那既然组件能够装进一个更大的组件里面那这两页是不是也能够
[41:53] 装进一个更大的组件里面能这个最终装着两个Page组件的更大的组件就叫
[42:01] 做app我们的demo里面已经有这个app组件了我们看一下好在demo里面呢这个
[42:10] app组件它就放在src下面我们把它拷进项目里面去也放在src里面这个
[42:19] 为什么没有放在components下面呢因为这个app组件已经是我们这个项目里面最大的组件了
[42:27] 它直接包了我们现有的两个页面所以呢它就不放在components下面了而是直接放在外面这一层我们看
[42:35] 一看它在干嘛这个最大的组件呢它其实也就这么几行这几行呢读不懂也没关系我跟你说一下它是干
[42:43] 的吧它就是把这两个page组件收纳进来并且呢它管理就是现在应该显示
[42:51] 哪一个这个page组件是该显示homepage呢还是TextLabPage呢等一下我们点导航的时候点
[42:59] 哪一个它就把哪一个page组件给显示出来但是注意啊现在我们还不能直接去跑我们先看一下我们现在项目
[43:07] 的现状这两个页面现在是不是都变成了组件挂到这个app超级大组件上了那么原来
[43:16] 的两个html文件以及这个叫做textlab的入口文件是不是可以用
[43:24] 不上了因为这几个文件原本就是为了承载个人主页和文字实验室这两个页面的现在两个页
[43:32] 面的都已经组件化被收容到app里面了那这俩页面和这个入口文件就用不着了所以呢我们就可以先把它们删
[43:40] 了我们在这里直接把这个index.html包括这个textlab.
[43:47] html包括这个入口文件这三个都可以一起删掉了另外
[43:56] 啊外面的这一层CSS也可以删掉了他们本来就是用在
[44:04] 刚才那两个HTML里面的嘛现在我们的React组件呢用的已经是这个SRC里面的CSS了
[44:12] 所以外面的就不需要了包括这个JS目录也可以删掉删了之后这个项目就很干净了已经
[44:21] 没有任何的html和js了除了配置文件和css之外全部都是React组件了那接下
[44:29] 来整个项目最重要的组件是不是就是这个app这个超级大组件了那么它可以直接用吗
[44:37] 很遗憾不行它最终还是得挂到一个html页面上这个页面呢可以啥事不干专
[44:45] 门就用来挂这个app超级大组件并且呢挂的时候仍然还是需要一个新的入口文件这个新
[44:53] 的入口文件我们就叫它main.jsx那最终挂的这个html我们就叫它index.
[45:00] html注意啊这个新的index.html和刚才删掉的那个index.
[45:08] html就不是同一个文件了刚才删掉的那个是个人主页现在这个新的index.
[45:16] html是一个全新的谁的内容都不装只是负责把整个app挂进来的index.
[45:23] html那我们在项目里面操作一下这两个文件呢都是可以在我们的demo里面去复制
[45:31] 的首先这个index.html我们可以从demo里面复制到我们项目里面去
[45:41] 注意啊它要放在最外层然后是这个入口文件它是在这个src下面
[45:50] 的跟这个app是同级的我们复制然后粘贴好
[45:59] 那我们看一下现在的渲染情况先看我们的Vite还在正常着运行着那我们
[46:07] 看一下页面
[46:11] 正常渲染点导航能够在个人主页和文字实验室之间切换到这
[46:19] 一步我们这个项目已经和demo里面的一样现在我们的项目就完完全全的改成了React框
[46:27] 架的实现了好接下来我们好好的看一看一个React项目的骨架长什么样它是一层一层套
[46:36] 起来的最外面的是这个index.html这是一个空壳它只提供这样的一个挂载
[46:44] 点这个挂载点呢就依赖这个main.jsx然后这个main.jsx呢就把这个app
[46:52] 给挂进来这个app呢它是React总管它把不同的页面然后放进去就这里
[47:00] 面的两个页面嘛并且呢它就决定着什么时候该显示哪一个页面然后再往里面呢就是这两个页面以及
