[00:00] 究竟什么是API不止一个人问过我这个问题就在最近我有一个在医院
[03:12] 这个ipify这个网址是api.ipify.org这是一个免费开
[03:20] 放的服务它只干一件事就是它告诉你现在的公网IP是多少关于公网IP是什么我们
[03:28] 我们在模块二的时候讲过就是你在互联网上的地址你看它主页上显
[03:36] 示的这个IP这个就是我现在的出口IP网页归网页重点是它还提供AP
[03:44] I服务我们试着在终端里面调用一下它的API我们试着在终端里
[03:53] 面调用一下它的API这里先介绍一个新的终端命令
[04:01] 啊这个curl是一个在终端里面发网络请求的小工具平时我们
[04:09] 用浏览器访问网址对吧其实呢用终端也可以访问网址curl就是干这个的它会把
[04:17] 服务器返回的内容原样的打印在终端里面特别适合用来测试APIMacOS和大多数的L
[04:25] inux都自带了这个命令直接用就行现在新版的Windows上面应该也有这个curl了用Windows的朋友
[04:33] 也可以试一下那AppCovid的这个官网首页上就带了这个用Core的API
[04:41] 访问方式我们打开终端把这一行输入进去顺嘴
[04:52] 也说一下啊这个网址呢它是用一个引号给扩起来了其实不扩也行但是这个网
[05:00] 址里面呢因为它有个问号终端呢有可能会误解这个符号所以呢加上像这种情况加上引号比较稳妥
[05:08] 这个等于告诉终端这一整串都是网址好我们回车你看很
[05:17] 快就回来一小段JSON就这么一句我没有打开任何的网站就问
[05:25] 到了此时此刻此刻我自己的IP就是这个IP字段整个响应就这一个字段干干净净
[05:33] 这个请求非常的简单你甚至可以把这一串网址就是这个curl后面这串网址直接贴到
[05:42] 浏览器的这个地址栏里面你看
[05:50] 拿到同样的一段数据这个呢也顺带说明了一件事就是我们平时用浏览器打开网址的时候呢可以打开网址本
[05:58] 质上呢也就是在发网络请求然后拿到响应那我们再回头看一下终端里面的
[06:07] 这个curl命令我们刚才干的这件事就叫做调用ipify的API我们不需要表明我们的身份
[06:15] 只需要请求这个API地址就可以拿到结果这个呢叫做匿名调用那接下来我们再看一个不
[06:23] 一样的刚才这个呢是查一份数据那接下来这次呢我们就直接调用DeepSeek的大模型让他回我们一
[06:31] 句话我们打开DeepSeek的官网如果你没有DeepSeek的账号你需要注册一个登录
[06:39] 进来之后呢不要点这个开始对话而是进入这个API开放平台我们
[06:47] 这次调DeepSeek的API呢稍微有一点门槛因为因为DeepSeek不支持匿名的调用他需要知道
[06:55] 是谁在调用一来呢要算用量二来呢也防止被人滥用所以呢我们要先拿一把
[07:04] 钥匙就是这个身份钥匙APIkey我们找到这个APIkey这个页面然后呢会
[07:12] 有这个创建APIkey的按钮一个人可以创建很多个APIkey我们点创建起一个
[07:20] 名字比如说我们就给他起名DarylDarylDaryl然后
[07:30] 点创建就得到了一串SK短线线开头的这个APIkey他只会
[07:38] 完整的显示这一次所以呢我们复制存好如果这个key回头不用
[07:46] 了你就把它点这个删除就可以了删除完之后他
[07:54] 就失效了所以你现在看起来现在看到这个视频的时候他已经失效了因为我发布视频之前已经把它给删了如果你创
[08:02] 建了这个APIkey也要注意不要泄露给别人我们把这个APIkey
[08:10] 记录在这里好还有一个很重要的事因为DeepSeek的AP
[08:18] I是按用量计费的需要充一点点余额不过呢别担心我们就掉这么一两次一次呢都花
[08:26] 不了一分钱但是呢DeepSeek呢他充值的时候一次最少充一块可以在这里
[08:35] 自定义充值你可以在这里充一块钱试试但是如果你此刻实在不想充值你也可以先看我演示把这个
[08:43] 道理看懂不过我还是强烈建议你充点钱亲手那掉一次一个是亲手感受一下大模
[08:51] 型API另外一个呢也是支持国产AI的发展DeepSeek呢是一家我非常respect的公司我相信他在未来呢还会有
[08:59] 更好的表现充完之后呢可以在这个页面里面看到余额那有了APIkey也有了账户余
[09:07] 额接下来呢我们看他的接口文档点这个接口文档页面把这个页面往下拉你看
[09:17] 官方文档里面直接给了用这个curl来去调用对话API的示例这一大段先别慌这里
[09:26] 面呢我们只有两个地方需要改一下一个呢是从这个dollar到后面的这个
[09:34] 大括号对这一部分我们要把这些替换成刚才我们
[09:42] 的那个APIkey然后呢另外一个呢是这个hello我们等
[09:50] 下给他换成一句我们想说的话比如说改成这个你好啊请用一句话介
[09:58] 绍你自己啊这些
[10:00] 那我们就复制然后给他去改一下比如说就在这
[10:08] 吧先把上面的这个APIkey放在这里面注意
[10:17] 哈到这里好
[10:27] 再把这个hello给他换一换换成你好请用一句话介绍一下
[10:36] 你自己把这个hello给他删掉好
[10:46] 这个记事本有点讨厌他把这个引号英文的引号给换成了中文的这样不行我
[10:55] 给他调换一下
[11:00] 好这样就可以了好然后我们复制直接
[11:08] 把这个贴到终端里面发送当当
[11:17] 我们拿回到了一个这样的回应信息这就说明首先我们调用成功
[11:25] 了但是他返回的数据里面字段比较多我们把这个次要的删掉了核心的其实就是这一句就是
[11:34] 你好我是deepseek一个由深度求索公司创造的AI助手什么什么我们把这个结构放在
[11:42] slides里面看这个呢就是刚才我们发出去的请求这个是我们
[11:50] 刚才拿到的响应当然我们是删掉了一些次要的字段主要呢我们拿到的结果就是
[11:58] 这个choices下面的这些字段这个是我们刚才拿到的响应当然我们是删掉了一些次要的字段主要呢我们拿到的结果就是这个cho
[11:59] ices下面的这些字段主要呢我们拿到的结果就是这个choices下面的这些字段主要呢我们拿到的结果就是这个choices
[12:00] 下面的这些字段主要呢我们拿到的结果就是这个choices下面的这些字段message下面的这个content就是你好我是
[12:03] deepseek一个由深度求索打造的AI助手那刚才发生了什么呢就是我们没有打开任何的网页
[12:12] 就在自己的终端里面让deepseek的大模型回了我们一句话这个呢就叫做调用deepseek
[12:20] 的API现在呢我们已经调用过两个真的API了我们把它们放在一起看就是
[12:29] 调用一个API其实有四步第一步呢我们从客户端向一个URL地址
[12:37] 发起一个请求第二步呢是那边他收到我们的请求之后他在内部去处
[12:45] 理我们这个请求这个处理的过程我们是不需要知道的那第三步呢就是他处理完之后会
[12:53] 返回给我们一段数据这段数据呢一般是json格式但是也可以不是json格式就是
[13:01] 一般是json格式然后呢第四步就是我们作为客户端按照这个返回的数据把它给显示出来
[13:09] 这就是如何使用一个API我们现在演示的是用终端但是其实也可以写一段代码去调
[13:17] 这个API的地址道理都是一样的那我们先想一个问题就是如果不用API就像刚才查IP以及和deep
[13:25] seek大模型对话这两件事能不能办呢能啊当然能啊就是我们查IP直接打开这个ipify的
[13:34] 官网就行了对吧如果用大模型deepseek呢有网页版也有手机的APP但是API的意义是什么
[13:42] 呢就是说如果一个计算机程序想要查IP或者说一个程序想要调用
[13:50] 大模型那么网页这条路他就不好使嘛我们的程序总不能每次都打开一个浏览器吧所以呢对于程
[13:58] 序来说呢最友好的方式就是用API的这种方式API的设计本身就是为计算机程序
[14:06] 服务的这种把自己的能力通过一个固定的入口持续的对外提供让别的程序来调用的做
[14:15] 法是整个软件行业的通用的做法这个对外的入口就是API那我们
[14:23] 刚才两次对API的调用调用过程中都涉及到了哪些的重要信息呢我们
[14:31] 再总结一下第一调用的时候他们都需要一个URL地址调用的一方向
[14:39] 这个URL地址发起请求第二呢是按照API的要求要带上该带的信息ipify
[14:47] 什么都没要求DeepSeek呢要带上APIKey还有那个我们的信息内容第三呢是调用完成之后API
[14:55] 会返回给我们一段数据让我们知道我们调用的结果这个就是API的形态只要按照它规
[15:03] 定的方式请求就能用上它的能力完全不需要知道它内部是怎么实现的那这两个API
[15:11] 接口还有一个差异就是查IP的这一次我们是取数据这种方式叫做
[15:19] GET那DeepSeek的那次呢我们要在请求的时候就提交内容给他我们要先告诉他让他
[15:28] 介绍自己嘛对吧这种呢就叫POSTGET和POST是API最常用的两种请求方式
[15:36] 当然API还有其他的方式啊比如说delete之类的我们后面遇到的时候再说只要按照这套格式
[15:44] 标准API呢就能成立这个是和语言无关的也就是说我们不关心DeepSe
[15:52] ek的后台是用Python写的还是用C写的DeepSeek呢也不关心我们是用终端的curl发起
[16:00] 的请求还是用Python发起的请求或者是用什么Node发起的请求只要两边都照着规范来各自用
[16:08] 什么语言什么框架就互不干涉那理解到这一步我们顺手就把这个AIAgent的神秘
[16:16] 感也解除了我们平时用的各种AI工具或者是AI产品本质上呢就是
[16:24] 在调各种的API他们的能力呢都是来自一件件的工具这些工具里面呢凡是要用到联网
[16:33] 去查的联网去用别的服务的比如说做什么语义解析任务编排搜网页查
[16:41] 天气查快递这些或者是网飞书群里面发条消息基本上都是在调API甚至前一
[16:49] 段时间很流行说的一个概念什么MCP他其实他交付的形式也是API另外还有一
[16:57] 些工具呢就是直接在我们电脑上跑命令读写文件这类严格来说呢不算网络API但他本
[17:05] 质上是一回事就是你如果把它当成一个工具理解的话就是他们都是照着一个固定的接口去调用别
[17:13] 人已经做好的能力并不是说这个AIAgent他自己就做了这些能力所以AI工具之所以看起
[17:21] 来无所不能就是因为他在不停的调用各种现成的能力其中很大一部分呢就是API你理解了
[17:29] API呢就等于揭开了这些工具神秘面纱的一大半这个AIAgent呢不是我们这个系列课程里
[17:37] 面的内容我们就是顺带手在这说一下那理解了API的基本逻辑之后我们再说回到
[17:45] 我们自己的项目我们再看一看我们这个一路待到大的NeartoTech到现在为止呢我们的网
[17:53] 站只有前端就是用户在浏览器里面看到的点到的这些页面前端呢他是很
[18:02] 擅长展示和交互的但是像这个文字实验室的这个根据输入的内容去计算
[18:10] 情感分数和拼音这个事这个前端就干不了他需要一个专门负责计算和
[18:18] 处理的这个程序这个程序呢就是后端那前端怎么把用户输
[18:26] 入的文字呢交给后端又怎么样把算出来的这个分数拿回来呢我们也是用API来
[18:34] 实现只不过这个API是我们自己写的专门算拼音和情感分数的到时候呢前端
[18:43] 通过API向这个后端发起一个请求然后带上用户输入的文字然后呢后端
[18:51] 的去分析和推理这段文字后端算完呢再返回一段json给前端里面装着这个
[18:59] 拼音和分数前端最后再展示给用户你看这个和刚才我们去调deepseek是同一回事这个就是接
[19:07] 下来这几节我们要干的就是给我们的网站补上一个后端实现我们自己的API既然反复说到后
[19:15] 端那我们也把这个词呢再解释一下前端呢就是跑在用户浏览器里面
[19:24] 的他负责的是看得见的展示和交互后端呢是一个一直运行着的守在服务
[19:32] 器上等着接收请求的程序他负责的呢是那些看不见的计算处理啊还有
[19:40] 把数据存下来刚才ipify和DeepSeek那种一直守着等我们发请求的程序就是他们的后
[19:48] 端我们接下来呢要为自己的网站做的就是一个这样的后端当然我们做的相比deepseek
[19:56] 从极客而言要小得多要简单得多有了后端
[20:00] API就是前端用来调后端的那个入口那最后说语言问题做
[20:08] 一个能对外提供API的后端这件事用什么编程语言都能做比如说用Java
[20:16] Script也就是所谓的用Node做后端然后Python,Go,Java,
[20:23] PHP这些都可以ipify和DeepSeek的后端各自用什么写的我们不知道但是也完全不影响我们
[20:31] 调用因为它暴露出来的只是API我们只需要知道这个就行了这门课我们选择用Python来写
[20:39] 后端有两个原因一个是它生态特别的成熟尤其是在算法、数据、AI这些
[20:47] 方向我们要算的拼音和情感分数正好也是在这个领域内的第二个是它的语法对
[20:55] 于初学者比较友好所以我们后端就选Python但是请记住这句话就是Python只是
[21:03] 开发后端的其中一个选择API的这个概念它和用什么语言是无关的这一节
[21:11] 到这儿今天我们没有写一行程序但是我们亲手调通了两个真正的API这节课的结束我
[21:19] 相信你可以带走这几个知识点第一个是API就是一个程序对外公开的入
[21:28] 口按照它规定的程序来写入口按照它规定的方式发请求就能用上它的能力不用知道它内部是怎么实现的第二呢一次
[21:36] API调用包括三步分别是客户端发请求然后对方处理然后响应这三
[21:44] 步今天我们见到了两种请求方式就Post和Get我们也拿回来了API的响应就是一段json但是
[21:53] 你需要知道API的请求方式其实不止Get和Post反回的时候它的数据呢也不只有json这一
[22:01] 种格式那第三个呢就是API是一种标准我们今天调用了两个完全不同的服务调用的方式呢却一
[22:09] 模一样这也就是说通过API对外提供能力是软件世界的通行做法而且呢和
[22:17] 语言没有关系第四个就是AI时代到处都是API我们今天调DeepSeek干的事儿就是那
[22:25] 些AI应用天天干的事儿只不过可能他们调了不同的档案模型而已因为接下来我们要给我们的网站补上
[22:34] 一个后端嘛前端呢通过我们自己写的API再去调用它所以呢下一节我们就把Python
[22:42] 装到电脑上跑一个Python程序看一看为我们亲手写我们自己的API呢做好环
[22:50] 境的准备咱们下一节见
