[00:00] 大家好，今天是我们现代前端的最后一讲，把我们的前端项目发布到公网，
[19:15] 可以写成脚本的交给CI/CD去自动跑你一推代码接下来它就自动上线但那个是后
[19:24] 话时间关系今天我们就先不讲虽然说自动化脚本它很方便但是比它更有价值的是我们
[19:32] 在心里面去建立这一条链路，我们毕竟是在学习嘛，那这个时候呢我们明白什么叫源码
[19:40] 什么叫产物，谁来构建，谁来服务明白这个背后它真实在发生了什么，这个其实
[19:49] 是更有价值的在我看来，那刚才的两条路A和B嘛，我们走了B这种
[19:57] 静态资源的发布方式，我们
[20:00] 我们的主线任务到这就收工了我们整个这个系列的课程的前端部分也要结束了但是临走之前
[20:08] 我想带大家回头再看一眼那条我们没走的路也就是那个A因为在那条路上
[20:16] 其实如果是深入走下去还有很多可以走并且最终是可以走向全栈的这种服务器
[20:24] 组件的方式它的核心是在服务器上有一台持续在跑着的Next服务这就意
[20:32] 味着Next就不再只是一个前端框架了它能够在服务器上按照每个请求当场把页面拼出来
[20:41] 那这样的话服务器组件就可以直接连数据库以前是不行的以前前端是不允许访问
[20:49] 密钥的因为要发到用户的浏览器上去执行前端能访问到密钥就不安全但是现在服务端组件
[20:57] 因为是在服务器上执行的它不用发给用户所以它还可以使用一些密钥我们甚至能够在
[21:05] 同一个Next项目里面写前端并且直接去写后端的接口这样前端后端一个
[21:13] 项目就全包了这个就是大家常说的Next全栈但是我们这门课我们不打算用Next的
[21:21] 这种方式来去做后端我们走的是一条更加经典也更通用的分工那就是
[21:30] 前端归前端就是这个静态的out后端归后端我们会用Python单
[21:38] 独起一个后端服务专门用来去计算这个情感分数和拼音前端后端之
[21:46] 间就靠API来通话各自也是独立的部署这个方式不是Next的全站而是
[21:54] 静态前端的后端在前端加独立后端这样的分工让前端和后端之间更加的独立它跟我们
[22:02] 前端用什么框架后端用什么语言都没有关系前端可以从React改成Vue后端也可以
[22:11] 从Python改成Java无论是替换迁移或者扩容它们都更加自由那我们为什么
[22:20] 不顺势去直接教Next的全栈呢我给大家三个例子三个原因第一个就是它
[22:28] 是把前端跟后端都绑在同一个框架里面这个事儿虽然说在AI编程时
[22:36] 代有比较独特的优势因为上下文统一但是对于初学者来说它不利于建立这种
[22:44] 工程化的思维把前端和后端分开是更有助于我们建立这种前端和后端是两个
[22:52] 独立角色的这么一个清晰的心智的第二是相对于Node来
[23:00] 说Python做后端的生态更加成熟一些尤其是做一些算法模型服务或者是数据分析
[23:09] 的服务Python比Node有更丰富的组件第三个也是比较现实的一条就是Next
[23:17] 全栈这一套技术它还很年轻我觉得它还需要成长因为服务端组件这一套请求的时候
[23:25] 现化的这样的一个机制就在半年前年的月爆出过一个非常严
[23:33] 重的远程代码执行漏洞攻击者甚至都不用登录就发一个HTTP请求发给那台就是我们说的常
[23:41] 驻的Node服务就能够让它跑任意的代码这个漏洞披露之后很快的就被坏人大规模的
[23:49] 利用了我跟大家说个真事就我自己当时也是漏洞的受害者之一当时我发现我的网站异常然后
[23:58] 我打开我的项目目录我发现加目录里面有一封勒索信然后就是给了我一个比特币
[24:06] 钱包什么地址然后我去给他转钱然后他对但是索性那一台只是我的
[24:14] 玩具服务器没有造成什么实质的损失我后来就是重装了系统然后把Next.
[24:20] js升级到了一个安全的版本这个事又过去了但是你想如果那是一台跑着真实业务的生产服务器那这个
[24:29] 后果就很严重对吧所以新技术好用但是新技术够不够稳我们得自己掂量一下目前
[24:37] 的技术生态整体确实是在往这个服务端组件Node全站这个方向在卷这个呢值得我们去认
[24:45] 识它知道它在解决什么问题我们这个零到全栈的课程设计用的是纯静态前端加后端API的设计其实
[24:53] 这种方式已经足够的做出来很多很可靠的真东西了并且呢这是目前行业内的
[25:02] 主流的选择好那我们整个现代前端的课程到这儿就结束了我们总结一下我们
[25:10] 整个这个模块四就叫做现代前端它是从这个构建开始
[25:18] 或者说从模块化改造这个开始然后我们一直讲到框架然后
[25:26] 框架带来了这个开发的便利以及这个组件的复用嘛但是框架也带来了一些问题因为它
[25:34] 把组件都打进了这个JS里面然后给到浏览区去现化最后呢我们是用next
[25:43] .js来去解决了这些问题next.js非常巧妙的用到了这个React的服务端组件让画
[25:51] HTML这件事呢前置到了服务器上去执行并且呢因为是在服务器上执行的嘛所以呢它再往前
[25:59] 走一步甚至可以做全栈但是我们没有用它做全栈我们选择了使用它的那个静态资源构建的这种能力
[26:07] 最终呢我们把这个网站部署上线了那我想问一下你有没有发现一个事儿就是我们走了这么一大圈最后
[26:15] 好像是又回到了最开始的那个vanilla的样子然后每一页嘛还是一个单独的
[26:23] HTML文件是吧而且我们原来项目里面的那个就是叫做app
[26:31] 的超级大组件也没有了是的的确是有点这种走了一大圈又回到了最
[26:39] 开始的这种感觉所以现在其实还有一种说法就是HTML它重新复活了AI呢直接写HTML
[26:48] 又快又好对于这种说法呢我觉得它也是合理的技术这个东西没有最好的只有最合
[26:56] 适的React或者是Vue框架它能解决的是组建复用的问题它能让我们站在别
[27:04] 人的肩膀上这个生态的价值是很大的如果说要做一个大一点的产品我还是推荐用框架但是如果
[27:12] 是做一个一次性的dashboard或者是像我们课件的这个slides一样做一个这样的演示文稿那么
[27:20] 呢HTML就很合适因为它基本上对环境没什么依赖最后关于部署我知道很多人选择nextjs之
[27:28] 后会去选择在Vercel上面部署这个方式挺好的不过呢Vercel的问题是中国内地访问的时候网
[27:36] 络上经常会有问题这个呢大家可以自己玩然后我就不介绍了零到全栈系列的现代前端部分咱
[27:44] 们就到这里再次感谢大家的支持我们下一节开始进入后端
[27:52] 拜拜
