[00:05] 让我们有请出阿里云智能高级技术专家
[05:56] 我能够随时随地的把这个session取出来
[05:59] 恢复它从一个固定的节点恢复出来
[06:01] 所以这个其实跟谷歌提到了一个概念
[06:04] 也是很类似的
[06:05] session 持久化
[06:06] 以及通过checkpoint来做一个故障的恢复
[06:08] 所以从这两家公司
[06:10] 今年提出的一些概念上来说
[06:12] 我们可以有得出一个比较简单的结论
[06:16] 就是异步化可能是今年在这些主流的场景里面
[06:21] 都会可能大家要去尝试做的一个事情
[06:24] 那么像那个MCP的两大特性
[06:28] 一和二就明确
[06:29] 就简单说就两个事情
[06:30] 第一个就是session 到底该存在哪里
[06:33] 以及我们的MCP server到底应该怎么去做
[06:36] 水平的无状态的扩展
[06:37] 要把它变成一个有状态的服务
[06:39] 变成一个无状态
[06:40] 或者说近似于无状态的服务
[06:42] 然后第二个就是这个task
[06:44] 异步生命周期的管理应该怎么做
[06:46] 所以的话简单说
[06:48] 就这四条
[06:49] 一个就是会话状态存储
[06:50] 第二个就是长任务的调度
[06:52] 我们怎么来做
[06:53] 然后通通过异步或者事件驱动
[06:55] 然后第三个就是当我们的机器宕机
[06:59] 出现故障的时候
[07:00] 我们怎么把它从当前节点
[07:03] 就是我前面可能进行了很多轮交互了
[07:06] 我不能把它浪费掉
[07:07] 所以我要把当前的结果拿到之后
[07:09] 重新开始
[07:10] 认为我的任务可续
[07:12] 最后一个就是在多节点的之间的协作方面
[07:14] 我们要依赖一些消息
[07:17] 不管你是通过消息系统
[07:18] 还是通过RPC或者 HTTP都可以
[07:20] 然后来做一些可靠的消息的传递
[07:23] 然后这个的话是一个
[07:26] 就是我们传统的互联网应用
[07:28] 和AI应用的一些场景的区别
[07:31] 因为我们本身嘛我像我们中间件团队
[07:34] 肯定是从传统的互联网架构
[07:37] 往现在的AI应用架构的演进
[07:39] 那么我们中间件肯定是为应用来做服务的
[07:43] 所以我大概总结了一下
[07:44] 就是目前来说
[07:45] AI的应用特点和传统的互联网应用的特点比较
[07:48] 第一个行为模式上肯定是不一样的
[07:50] AI应用是主动执行的
[07:52] 那我们互联网传统应用肯定是被编排好的
[07:56] 由产品经理的文档以及程序员写的代码来决定的
[07:59] 就简单的说那个传统的应用
[08:02] 它是一个可知的应用
[08:04] 我们所有的流程都是我们已经预先编排好的
[08:08] 程序员代码写好的
[08:09] 然后比如说我去调一笔订单
[08:12] 我不管是张三去买个淘宝上买个东西
[08:15] 还是李四去买个东西
[08:16] 我不管你是充个话费还是买件衣服
[08:19] 他们的整体业务流程大同小异
[08:21] 都是固定的
[08:22] 同时整个业务的时长的耗时也是类似的
[08:26] 要么就一毫秒
[08:27] 要么就10ms或者20ms
[08:29] 没有特别大的差异
[08:31] 我们可以把它们就是归结为都是都属于
[08:33] 只要是买个东西
[08:34] 一定都是不管谁来买
[08:36] 都是同一个应用
[08:38] 然后所以他的行为是可预知的
[08:41] 但是大模型
[08:43] 就是可能同一个问题
[08:45] 你问不不同的模型
[08:46] 或者你不同的问法
[08:48] 产生的结果可能都不一样
[08:50] 就比如说你去问
[08:51] 明天上午你去问大模型
[08:53] 马刺打尼克斯谁能赢
[08:55] 你给的上下文不一样
[08:56] 他可能就会告诉你
[08:58] 这次他告诉你尼克斯要赢
[09:00] 因为布伦森可能要复出了
[09:02] 但是你可能过一会你又你又问你说文班亚马
[09:05] 感觉昨天晚上又被少林寺的高僧点拨了一下
[09:08] 他可能又说
[09:09] 那我觉得马刺会赢
[09:10] 所以这个同样一个问题
[09:11] 上下文不一样
[09:13] 多轮交互的结果不一样
[09:14] 它可能给你的结果都是不一样的
[09:16] 所以这是一个就是更像一个未知的系统
[09:18] 那么第三就是它的交互方式不一样
[09:21] 它是以前我们传统做异步化的驱动
[09:23] 或者说做应用的话
[09:25] 它是一个类似于工作流的状态
[09:28] 一步一步往下推
[09:29] 而现在这个任务方式可能是我人
[09:32] 发动方式的人
[09:33] 通过那类似于聊天的方式来跟大模型交互
[09:36] 那么它是一步一步多轮任务上下文
[09:38] 在不停的做迭代
[09:39] 所以的话这个时候就需要一个更高效的
[09:41] 状态管理和会话管理
[09:43] 那同时还有一个最重要的问题
[09:44] 就是或者说非常重要的问题
[09:46] 运行成本非常高
[09:47] GPU的成本是高于CPU的
[09:49] 以前我们扩容是可以无限扩的
[09:51] 我们如果一个服务能力不足
[09:54] 我们能想到最简单的办法就是扩机器
[09:57] 只要能够我们以前有个说法
[09:59] 就是只要能够靠扩容来解决问题的架构
[10:01] 那都是好架构
[10:02] 如果就是一个业务
[10:04] 一个应用
[10:04] 它能靠扩容来解决问题
[10:05] 那就是个好架构
[10:06] 但那是因为我们就认为CPU很充足
[10:10] 无限近近似于可以无限扩
[10:11] 但在GPU时代
[10:12] 目前来看
[10:13] 这个是比较难的
[10:14] 而且它算算力成本非常高
[10:16] 所以的话这也是一个区别
[10:18] 然后所以不像对于我们做异步
[10:21] 事件驱动的团队来说
[10:23] 那么前面的针对应用的场景不同
[10:27] 所以对于我们来说
[10:29] 我们要做到什么
[10:30] 第一个就是我它可能堆积的时间会变长
[10:34] 以前的业务基本上是毫秒
[10:36] 互联网时代的业务基本都是毫秒级的业务
[10:39] 就是做一笔生
[10:40] 做一笔生意或者做一次业务都是毫秒级的
[10:42] 而到了那个现在这个Agent 的场景
[10:45] 那么它的时长可能是分钟级的
[10:47] 甚至更长
[10:48] 所以的话队列数据数据更容易堆积
[10:51] 更容易出现一个互相的影响
[10:53] 就可能就会出现一个用户
[10:55] 影响到另外一个用户的场景
[10:56] 因为他把一个人所有人全堵住了
[10:58] 就是我上面说的那个队头阻塞
[11:01] 就是单条耗时消息可能导致队头阻塞
[11:04] 因为我们消息队列嘛都是先进先出
[11:06] 前面的消息出不去
[11:07] 那么所有后面的人全卡在那里
[11:09] 所以这对于我们来说就要想个办法
[11:12] 能够让用户把他业务打散
[11:13] 然后尽量的不要被其就是一个人
[11:16] 不要影响其他人
[11:17] 那还有一个就是我们需要当系统异常的恢复后
[11:21] 能够获取到历史任务的结果
[11:22] 然后避免出现那个重复的请求大模型
[11:25] 然后减少冗余的推理
[11:27] 然后来降低一个成本
[11:29] 所以我们这款产品在过去一年的
[11:35] 面向这些AI应用的场景的演进方向上
[11:37] 我们主要是有主打的三点吧
[11:39] 第一个就是差异性
[11:40] 就是我们传要从传统的面向同类任务的方式
[11:45] 就以前因为大家都是同类任务
[11:47] 可能少量 Topic就能解决了
[11:49] 所以我们现在想
[11:51] 就是要根据他那种异步化的这种动态产
[11:55] 就是做任务是异步化动态产生的这种场景
[11:58] 我们需要按需按
[12:00] 而且轻量的给用户提供独立的资源隔离
[12:03] 就是要把用户的需求就是一个一个隔离出来
[12:06] 给他们提供独立的传递通道和数据通道
[12:09] 那这就是我们说的隔离性消息的隔离粒度
[12:12] 要从topic直接往下下沉
[12:14] 下沉到任务级以及会话级
[12:16] 那么这就对我们
[12:17] 然后每次会话又有独立的通道和生命周期
[12:20] 这样的话对于我们来说
[12:21] 其实从设计上来说
[12:23] 就可能要把以前一台机器上可能1万个队列
[12:26] 我们要把它扩展到能支持100万个队列
[12:28] 这样的话我们就可能能够因为我们是队列级别
[12:31] 数据是隔离的
[12:31] 这样的话我们就可以把我们支持的
[12:33] 就是那种数据的隔离程度
[12:35] 从1万个用户可能提供了100万个用户
[12:38] 或者说100万个会话知道
[12:40] 第三就是会话的粘性
[12:41] 就是我们刚才说的
[12:42] 因为它是多轮交互
[12:43] 那么我们上下文肯定要落在一
[12:45] 我们要上下文要落在同一台机器上
[12:47] 所以的话我们全都要从传统的那种无状态的
[12:50] 单次事件驱动
[12:51] 然后像这种Agent的多轮交互演进要求的话
[12:55] 我们整个消息系统能够支持那个会话级别的
[12:58] 一个消息的编排
[12:59] 那然后所以的话基于前面的目标
[13:04] 我们去年就做了一个类似
[13:06] 类似个叫做LiteTopic的方案
[13:08] 就是它是一个很轻量级的
[13:11] 非常易于扩展和使用
[13:12] 以及生命周期进行销毁的一个队列
[13:15] 这是我们以前就是我们现在就是RocketMQ
[13:20] 目前4.0和5.0嘛提供的两种消费模型
[13:23] 就是这两种消费模型有个特点
[13:25] 就是也就是基本上所有的消息队列
[13:27] 不管是RocketMQ还是卡夫卡
[13:29] 都是这样做的
[13:30] 所谓基于一个group的叫共享的消费
[13:32] 就是我有一个消费组
[13:33] 上面可能有很多台机器
[13:35] 就叫消费者一
[13:36] 消费者二
[13:37] 大家订阅一个topic
[13:38] 然后他们去消费这些队列里的数据
[13:41] 然后这些队列里的数据会被这些消费者
[13:44] 任意一台接收
[13:46] 这个其实就跟类似于像一个 SLB
[13:48] 后面挂个服务
[13:49] 你HTTP请求调过去
[13:50] 那么是掉到落到任意一台机器上都是有可能的
[13:54] 或者说类似于像RPC那种 dubbo
[13:56] 这种做服务发现
[13:57] 然后我们去调一个service
[13:58] 后面可能也是随机开机
[14:00] 调到这个模型是一样的
[14:01] 就是一个分组下面共享消费
[14:04] 所以然后LiteTopic呢我们就前面我们说了
[14:07] 我们要针对不同的用户做数据隔离
[14:10] 不同的场景做数据隔离
[14:12] 所以我们要主打的是一个差异化的订阅
[14:15] 要就看我们这边这个订阅模型
[14:17] 就比如说我们有三个订阅者
[14:19] 每个订阅者都可以订阅
[14:22] 就是不同的消息队列
[14:24] 就是我们这边这个LiteTopic 的队列
[14:25] 然后比如说consumer1可以订阅五个consumer
[14:29] 二可以订阅十个consume
[14:30] 三可以订阅100个
[14:31] 大家可以使用同一个消息group
[14:33] 但是订阅不同的队列
[14:36] 然后这样的话可以起到
[14:38] 就是做到一个那个数据的隔离
[14:42] 然后LiteTopic 的特点就是我是不用手动创建的
[14:45] 你只要发送的时候就可以自动创建
[14:48] 然后在运行的时候可以自动创建
[14:50] 自动清理
[14:51] 它是支持TTL的
[14:52] 然后我们可以支持一台机器上
[14:54] 可以支持百万级别的LiteTopic
[14:56] 然后同然后在单个客户端
[14:58] 就单台机器上或者单个消费者实例上
[15:00] 可以订阅上万个LiteTopic
[15:02] 然后不同的客户端的话
[15:04] 订阅关系可以完全不同
[15:05] 然后这样的话它是一个物理隔离的队列
[15:08] 它互相之间是不干扰的
[15:11] 那这个就是我们之前啊这边的一个模型
[15:14] 就是你会看到就是一个一个 consumer
[15:17] 本来是一个consumer
[15:18] 他可能订阅了Topic0 和 Topic1
[15:19] 然后他去拉这个消息
[15:20] 然后现在的话我们要让他订阅
[15:22] 可能从一到N
[15:24] 可能一台机器可以订阅100万个队列
[15:27] 然后就你可以认为
[15:29] 如果你把这个consumer这个机器想成是一个网关
[15:31] 我这个时候有100万个会话进来
[15:34] 那么我这台机器上就每每就可以给每个会话
[15:39] 有100万个独立的会话通道
[15:40] 就相当于每一个会话的数据
[15:42] 都可以进到一个独立的通道里面
[15:46] 然后这边的话就是我们一个现有的方案
[15:50] 和那个之前方案的比较
[15:52] 就是说我们能不能用现有的方案来实现
[15:54] 这个机制
[15:55] 大那是肯定是不就是这会有性能问题
[15:57] 就是因为我们是做大型分布式系统的
[15:59] 任何事情都是那个量变会产生一个质变
[16:02] 所以如果用以前的方法来做的话
[16:03] 那我们可能就要
[16:05] 如果要做到100万个session的隔离
[16:06] 那我们就要创建100万个topic
[16:08] 但现在的方案我们一个 topic 都不用创建
[16:10] 我创建一个topic就好了
[16:11] 然后下面全部可以用轻量级的LiteTopic来构建
[16:14] 然后同时我们这个方案也在
[16:16] 我们在消息的消费中
[16:18] 我们也可以减少很多无效的轮询
[16:19] 然后减降低CPU的开销
[16:21] 所以这就是一个就是我们怎么来做一个
[16:25] 海量的差异化订阅的模型
[16:27] 就是我们首先就是跟原有的
[16:31] 我们跟原有的模型相比
[16:33] 我们最大的不同
[16:34] 我们就做一个事件的分发机制
[16:35] 我们每一个客户端大家可以看到这边这个图
[16:37] 每一个客户端都有一个自己
[16:39] 独立的事件分发的set
[16:41] 这个就有点类似于那个文件系统
[16:44] 那个那个apple那个模型就是操作性
[16:46] 那个app的模型
[16:47] 就是我每一每一个客户端都有一个 ready set
[16:50] 当我有事件进来的时候
[16:51] 我就会把是我的你的
[16:54] 把事件放到你的ready set里面去
[16:55] 这样的话我可以避免很多无效的轮询
[16:57] 同时来保证我一个传输的高效
[16:59] 就是简单点说
[17:01] 就是如果我今天这个集群上面支持了100万个
[17:03] 实现百万个 session 的数据在里面
[17:06] 然后我下面的消费者
[17:07] 大家可能一人订阅了七八万个
[17:09] 我哪怕同时这100万百万个session
[17:12] 有数据在往里面写
[17:13] 那么我的延迟也能做到毫秒级
[17:15] 大概是在十十毫秒到20ms左右
[17:17] 这样的话我就可以在就是在一个异步链路里面
[17:20] 做到一个这样的场景
[17:21] 我不用同步在那里等待
[17:23] 我只要这个set 有数据就这个会话
[17:25] 有数据
[17:25] 有数据写到这个会话里面去了
[17:27] 那么就可以通过这个渠道推给我
[17:30] 就还有的话就是我们在消费线程池端
[17:34] 也做了一些优化
[17:35] 就是以前我们做传统的消费模型
[17:38] 我们去消费是先把数据拉到客户端
[17:42] 然后然后进到客户端之后
[17:44] 消息进到客户端拉取下来之后
[17:46] 我们把它放到消费线程池里面
[17:48] 消费线程池
[17:49] 然后去消费
[17:49] 如果这个时候
[17:50] 你想对用户进行限流
[17:52] 大家一般来说就是去做一个sleep
[17:55] 但做这个sleep有个问题
[17:56] 就sleep的话
[17:57] 这个线程池线程池其实它是占着的
[17:59] 它不会把这线程池释放出来
[18:01] 如果你这个sleep的时间越长
[18:03] 那么其实对你客户端来说
[18:04] 你这个资源是浪费的
[18:05] 因为你有个线程
[18:06] 它就一直在sleep
[18:08] 不能不能够去消费其他消息
[18:10] 而我们现在在消费线程池里面做了优化
[18:12] 就是我们可以对它进行一个suspend的概念
[18:14] 我只要执行的是一个suspend的
[18:17] 那么这个队列的数据我就不会再去拉取了
[18:21] 同时我会马上把消费线程池释放出来
[18:23] 然后用户的话就可以去消费其他消息
[18:26] 就是我举个简单的例子
[18:27] 就比如说你同时有两个U的
[18:30] 有两个用户的数据
[18:31] 然后分别写到两个队列里面
[18:33] 你现在把他都拉都拉下来消费
[18:35] 如果其中一个用户的数据量很大
[18:38] 你要对它进行限流
[18:39] 那么按照我们现在的模型
[18:40] 你只要对它调个suspend
[18:42] 那么这个用户的数据我们就不会再拉取了
[18:44] 同时消费线程是会马上释放出来
[18:46] 去消费另外一个用户的数据
[18:48] 所以这跟传统的消息队列里面
[18:50] 通过sleep来做限流
[18:52] 不能把消费线程池释放出来
[18:54] 这也是一个优化
[18:56] 所以然后我现在讲一个就是会话网关的例子
[19:00] 可能大家会稍微清晰一点
[19:02] 就是我们这个东西到底它能做什么
[19:05] 就是这样的
[19:05] 就是如如果我今天以前的方案
[19:08] 我们现在先举个以前的方案
[19:09] 就是我们要用一个消息队列
[19:11] 来做一个全异步的会话网关
[19:14] 我们要怎么做
[19:15] 就第一步
[19:16] 这个网这个其实是一个用户的真实案例
[19:19] 他们以前是怎么做的
[19:20] 就第一步它浏览器数据进来的时候
[19:21] 进到一个网关第一个节点
[19:23] 然后他会把任务放到REDIS里面
[19:26] 然后下游的任务他去轮询这个REDIS
[19:28] 看这个用户是不是有任务进来了
[19:30] 进来了之后他就调大模型
[19:32] 调完大模型之后
[19:34] 他就把数据那个第三步
[19:35] 写到我们的一个消息队列里面去
[19:37] 消息队列
[19:38] 然后我他每台网关的机器都在同一个group下面
[19:42] 大家会去订阅这个topic
[19:43] 然后他订阅了这个topic之后
[19:45] 他可能因为这个Topic里面
[19:47] 其实就是放的这次大模型的结果
[19:49] 那他肯定是要把数据回给用户的
[19:51] 但现在就有个问题了
[19:52] 就我们说的有可能你从这个浏览器一
[19:54] 就这个地方进来的
[19:55] 到网关一的数据
[19:56] 你经过大模型处理
[19:57] 进到消息队列里之后
[19:58] 会被这个网关二的机器收掉
[20:01] 收到那用户又是连在一上面的
[20:04] 那所以这个时候怎么办
[20:06] 因为它二没有办法把数据推给①
[20:09] 这个浏览器
[20:10] 所以他又要把那个数据写到一个地方缓存起来
[20:16] 然后发个广播通
[20:18] 发个广播消息
[20:19] 这广播消息是通知所有的
[20:21] 通知这个网关集群下面所有的机器
[20:24] 现在有一个用户的消息回来了
[20:25] 你们看下是不是你们这台机器连的用户
[20:28] 如果是的话
[20:29] 他就去把刚才那个结果
[20:30] 比如说可能去缓存里面取
[20:32] 也可能去数据库里面取
[20:33] 把它取出来
[20:33] 然后再推流就是第七步回到回给用户
[20:37] 然后如果不是的话
[20:39] 这台机器发现这个用户不是我的
[20:41] 那我就什么都不干
[20:42] 所以这个架构他这么做
[20:44] 是因为第一他想做个异步化的解决方案
[20:48] 因为同步嘛就因为这个用户规模比较大
[20:50] 如果同步的应用在我的前面一直卡在那里
[20:53] 那么就是可能前面的资源就耗尽了
[20:56] 然后会出现一些性能上的问题
[20:58] 然后他这个异步方案解决思路是没问题的
[21:00] 但是这比较麻烦
[21:01] 麻烦就麻烦在以前的消费模型支持不了
[21:04] 就是我们说的最后当结果回来的时候
[21:06] 它保持不了会话的粘性
[21:07] 他的结果一从浏览器连到网关
[21:10] 一调大模型
[21:12] 再回到消息队列
[21:13] 最后再给到再把结果回给网关
[21:16] 这个过程在回结果的时候
[21:17] 他做不到消息的粘性
[21:19] 或者做不到会话的粘性
[21:20] 他可能一的结果落在了二上面
[21:22] 所以二要想办法通知一
[21:24] 你来拿这个消息
[21:25] 中间他就多了很多冗余的过程
[21:28] 然后那如果用我们的那个LiteTopic
[21:31] 这个新的方案来做
[21:32] 它就会很简单了
[21:32] 你看就第一个浏览器一进到网关一
[21:35] 然后这个时候啊它发一个任务
[21:39] 就是就是第二步他发一个异步化的任务
[21:41] 这个异步化的任务就是反正告诉下面智能应用
[21:44] 你没智能应用收到之后
[21:46] 他去干自己的活
[21:47] 就所谓的这个是一个传统的事件驱动的场景
[21:49] 然后当它结果回来之后
[21:53] 他就把这个处理结果写到一个叫做一个LiteTopic
[21:57] LiteTopic里面去
[21:58] 这个LiteTopic它可以用这个session id作为它的名字
[22:01] 那么每台网关机器
[22:03] 肯定是知道我自己有哪些session连着的
[22:05] 我只要有会话新的会话进来
[22:08] 我就订阅这个 session
[22:09] 以这个会话名字为LiteTopic卡
[22:11] 然后那么下游的用下游的智能应用
[22:14] 每次处理完结果之后
[22:16] 也把数据写到这个对应的session topic里面去
[22:20] 那么这个时候他就可以做到一个数据的粘性
[22:23] 就是我们说的一进来从①
[22:27] 这个浏览就是从浏览器进到网关一
[22:29] 这台机器上发起的任务
[22:31] 不管是后面经过怎样的异步化的一个过程
[22:33] 大家互相之间也没有联系
[22:34] 都是异步化的过程
[22:35] 最后大模型的处理结果
[22:37] 同样能回到这个网关机器一
[22:39] 这样的话我们解决了这个数据的粘性问题
[22:41] 同时在这个过程里面
[22:43] 我们不用再去依赖类似于像数据库或者说
[22:47] Redis 这样东西来保存中间的过程
[22:49] 我们可以把直接把最终过程就完全回到①上面
[22:51] 去掉
[22:52] 很多中间过程
[22:53] 同时还可以去到一个广播通知
[22:54] 这样的一个繁琐的机制
[22:56] 所以这个整个流程可以简化三步
[23:00] 然后而且如果当这个机器宕机之后
[23:03] 因为你数据首先是全部存在我们的RocketMQ
[23:06] RocketMQ 里面的
[23:07] 然后你恢复之后
[23:09] 你只要有什么机制
[23:10] 你让你记住我
[23:10] 当前我这台机器上与你有哪哪哪哪些session
[23:15] 还没有处理完
[23:15] 我起来之后重新订阅恢复一下
[23:18] 那么所有的数据就可以全部拿走
[23:21] 就是可以从你之前宕机的时候没有拿到的消息
[23:25] 把它全部都收走
[23:25] 那这样的话可以起到一个恢复的
[23:27] 一个断流的作用
[23:28] 这就是一个基于我们这个新的特性
[23:32] 来做一个异步化网关的案例
[23:34] 这样的话可以把
[23:36] 整个流程就是类似于对用户来说完全透明
[23:39] 然后变成一个异步的session
[23:42] 亲和的解决方案
[23:43] 然后现后面的话给大家介绍一个两个
[23:47] 就是我们那个一个真实的现
[23:51] 就是一个真实案例
[23:52] 一个就是AI场景下限流的需求
[23:55] 限流的需求挑战
[23:56] 这个是来自于我们阿里云的那个百炼网关
[23:59] 就是基本上就是类似于像token plan或者是coding plan
[24:03] 所有的流量全都是先到那个百炼网关
[24:06] 然后百炼网关
[24:07] 然后到我们这边
[24:09] 然后再去调用他们的需求是什么
[24:10] 就是一是要做资源的隔离
[24:12] 就是因为我们说的嘛不同的用户
[24:14] 那个 QPS 是不同的
[24:16] 然后而且流量可能也不同
[24:18] 就是比如说啊我今天有个用户
[24:21] 他突然来了很多大模型的调用
[24:24] 然后他这个时候如果又很慢
[24:27] 他把一个消息的队头
[24:29] 一个消息流量里面
[24:30] 如果队头全部是他的消息
[24:32] 那么后面写过的那些什么用户
[24:34] 二三后面的人就全排在他后面
[24:36] 就他如果卡在里
[24:37] 不处理完别的人的所有的任务都处理不了
[24:40] 然后如果你对它进行限流的话
[24:43] 你对它进行限流的话
[24:44] 就是刚才我们说的嘛一个sleep
[24:46] 那么就整个下游的消费全卡住了
[24:48] 大家还是在等待
[24:49] 所以解决解决不了
[24:50] 就是那个资源隔离的问题
[24:52] 所以他们现在要做的就是个流量互不干扰
[24:54] 防止单一用户影响其他所有的客户
[24:57] 那么那个就是跟传统的比
[25:02] 就是传统就是我们说一个单个用户的慢任务
[25:05] 会阻碍其他用户消息的处理
[25:07] 无法做到物理隔离
[25:08] 然后同时的话客户端消费的时候
[25:10] 会补一个sleep
[25:12] 会block到所有的线程
[25:13] 影响到所有的那个用户的吞吐
[25:15] 还有的话就是一般来就是我们之前说的
[25:18] 因为他们之前按照传统的做法
[25:20] 就传统做法
[25:20] 他把所有用户的事件驱动的请求
[25:23] 都放在了一个队列
[25:24] 一个topic里面
[25:24] 一个托一个topic里面的话
[25:26] 那就是所有的用户数据都是混在一起的
[25:28] 那么所有用混在一起
[25:29] 就是就会回到我们刚才说的那个问题了
[25:31] 就是处理的时长不一样
[25:33] 会导致整个队列的阻塞
