[00:00] 大家好欢迎回来上一节我们学了数据库现在呢大家应该已经会见表会增删改查会用问
[12:39] 启一遍虽然说它也是有热更新的但是为了保险起见我们还是把它停掉再给那个重新的运行一下
[12:48] 这个地方有一个小细节跟大家说哈就是说虽然我们知道现在前后端呢他们都是支持热更新
[12:56] 的但是这个有时候你在运行的时候你发现诶这个好像我改完之后它还是有一点问题
[13:04] 那你可以试着把这个程序给停掉然后重新的再去运行一下因为热更新它并不是
[13:12] 说百分之百的就可靠的好现在重新启动了呢我们就回到我们的这个应用里面比如说我们
[13:20] 现在在这分析一句话比如说我们就说生活没有标准答案但是每
[13:28] 一天都值得认真感受然后接下来呢我们就看一看
[13:36] 这个数据能不能通过那个我们的这个APIhistory这个接口拿得到local
[13:45] host
[13:49] APIhistory可以看到吗
[13:57] 生活没有标准答案这个就是刚才我们写进去的那一行并且呢我们去看这个文件它里面
[14:05] 也有了这一行数据这个就和我们搬家之前一模一样是吧一模一样就对了因为我们
[14:13] 一行逻辑都没有改只是把代码挪了个地方那这就是刚才说的那条纪律就是功能一点都
[14:22] 不能变也就是说现在存储这件事儿从接口层和业务层的视野里面就消
[14:30] 失了现在main.py它只知道一件事儿就是它调用一下这个save_record就
[14:38] 在这里它调用一下save_record就能够把数据存起来然后呢它调用一下这个gethistory就
[14:46] 能够把数据给取回来至于东西到底存在文件里面呢还是存在数据库里面呢它不知道也不需要
[14:54] 知道那顺便再说一下就是这两个文件这个man.py和这个storage.
[15:01] py它们是怎么连起来的我们用那个fastapidev启动的时候仍然还是只会加载
[15:09] 这个man.py就是uvicorn找的还是它但是因为man.py里面现在有了这一
[15:17] 行就是这个storagefromstorageimport然后这样的两个函
[15:25] 数名现在我们在在这个代码里面去调用这两个函数就直接就能够找到不用写路径也不用写。
[15:34] py后缀就能够找到所以反过来说刚才我们建这个storage.py的时候一定要建
[15:42] 在这个backend这个目录下面一定要跟这个man.py建在同一个位置这两个文件在一块
[15:50] 好这里面多出来这些空行我删掉
[15:56] 文件现在拆开了代码也各就各位了看上去挺整齐对吧但是整齐现在
[16:04] 还不是我们重构的目的我们再回头想一想我们为什么要做这一次重构呢不是为了让代码好
[16:12] 看而是为了让每一层都只管自己该管的事分层的价值就在于哪一天我们要换
[16:20] 某一层就只动那一层别的代码就不受牵连而我们马上就要换存了换存储层了嘛指望的也就是这个现在重
[16:29] 构是没出错但是这个重构我们做到位了没有呢我们看一看分层的思想有没有体现
[16:37] 到位现在呢man.py这个文件它已经是不管存储了这里边不会有任何的跟写文件或者
[16:45] 是怎么读文件相关的这个内容对吧但是storage.py这个文件它里面有没有什么
[16:53] 事情本来不该归它管的storage.py存储层是吧它这一层的职责是什么它的
[17:02] 职责是数据存在哪儿怎么存怎么取出来除此之外的事都不应该有它操
[17:10] 心我放大一点我们现在逐行的看一看这个代码文件主要是
[17:18] 看gethistory第一行是把数据取出来是吧这个是存储的这个是存
[17:26] 储层的事这个没问题第二行把新的排到前面这个说的是怎么取这个也是
[17:34] 存储层的事第三行这个returnrecords就是取两条这个地方我们就得听一下这
[17:42] 一行其实是两件事捏在了一起第一件事是切一刀只给一部分这个动作
[17:50] 呢是存储层的活这没错因为等会儿我们换成数据库相当于SQL语句里面的limit但是第二
[17:59] 件事就是它现在是切在这个位置这个决定大家想一想这个应该是存储
[18:07] 层管的事吗我们原本的代码里面这个写的是对吧我们还把它改回到然后来讲就是最早我们
[18:15] 的课件设计包括我们的文字版这里面写的应该也是
[18:22] 看一下
[18:25] 对这个就只给条所以我们就给它改成然后接下来去想一想原本这里
[18:34] 写就是说我每次去请求这个接口的时候我就能拿到条数据现在
[18:42] 是前端网页端然后去请求接口呢调用这个存储层然后能够拿回到条数据给
[18:51] 到前端但是假如说哪一天需求改了我有个手机呢我手机端也来访问我们的这个后端API手机上面
[18:59] 想要展示条数据那按照我们现在的这个写法我们得去从哪改啊我们得去改storage.py这个地方
[19:07] 对不对但是这个存储层storage.py它是管数据存储的页面上要显示几条
[19:15] 数据凭什么得去动它呢反过来问哈storage.py它知道页面上有多大的地方吗它
[19:23] 知道用户是在手机上的吗手机上看还是在电脑上看吗它不知道也不该知道所以这个答案很清晰就是动作
[19:32] 归存储层决定权呢应该归调用方所以这个数字就不属于存储这一层它属于
[19:40] 是调用它的哪一层存储层呢该说的话就只有一句就是你要几条我给你几条那我们就把这个决
[19:48] 定权交出去在这个storage.py里面把写死的这个数字换成一个
[19:56] 参数就是换成limit
[20:00] 然后这个参数是由调用方传进来可以这样写这个地方它的意思就是如果不传那就
[20:08] 默认是我们也不要写这个事我们就是要传进来必须得传进来一个参数我才给你去
[20:17] 取那接下来就是在man.py这一侧把这个这个数字就传给它就在这写个
[20:27] 所以现在返回最新的条记录的这个决定已经是放在man.py里面去做了然后在这
[20:36] 那就是返回指定的一些记录返回指定数量
[20:44] 的记录以后如果说想要在前端去控制获取的数量那么就把这个
[20:52] 数字就是现在这个数字决定权在这如果以后前端想去控制这个数字那么这个数字
[21:00] 还可以再往前端去挪但是总之不要放在存储层好那改完我们就再跑一遍在这里再
[21:08] 跑一遍结果就没有变因为刚才我们是把换成了这个是功能没变但是返
[21:16] 回的数量变了这个叫不叫一个重构严格来说其实有点问题假如说我这个地方写的是就是我改
[21:24] 到这一步
[21:27] 那么我现在在这个浏览器里面去验证一下然后发现
[21:35] 它跟以前一样也是能返回两条到这儿为止还算重构因为没有改任何的行
[21:43] 为我们只是改了这个把这个把这个决定几条记录的从这个文件里面搬到了这个文件里面这个还叫
[21:52] 重构但是我们把换成这个就严格来说就不算了因为刚才按照刚才
[22:00] 我们的那个纪律嘛它改了这个行为但是我们也别这么较真哈就是基本上可以把它理解为就是我们把这个
[22:08] limit加在这里把这个main.py这里然后调用的时候给它传来一个数字这个事也叫做
[22:17] 一个重构虽然说没有产生新的文件那刚才搬加搬的是代码的位置嘛然后这一次挪的是
[22:25] 这个决定的归属但本质上呢它其实是关于职责的划分好现在呢我们就已经改完了现在
[22:33] storage.py呢它是一个这个独立的边界清楚的文件但是它背后呢还是用这个
[22:41] 文件来去做这个存储嘛接下来呢我们就做第二步装修就是把这个存储换成s
[22:49] qlite这次装修呢我们要改六处代码而且呢基本上全部都是在这个storage.
[22:56] py这个文件里面我把它列成了一张表大家可以先看一下心里面有个数我们就按照这个表
[23:05] 一处一处的来第一处是换这个import我们把这个顶部这个importjson换
[23:13] 成importsqlite
[23:18] 能复制就复制哈我们就别敲了复制
[23:27] 到这个里面粘贴为什么要换这个呢是因为我们换成数
[23:35] 据库之后我们就不需要再跟硬盘上的这个history.json打交道了第二处我们就要换这个这个
[23:43] 文件我们要把它变成一个数据库的连接同样哈也是从这儿去复制
[23:51] 把原来的这个history.json换成下面这几号把这几
[24:00] 号删掉然后换成这些这里边有一个
[24:09] 这个row_factory这行单独说一下这行我们上一节没讲到它这行的作用呢是让查询结果带
[24:17] 上列的名字就是带上字段名这样就不只是裸的数据了另外注意就是这个get_connection这个
[24:25] 是一个喊数据它定义的是怎么样连怎么样连的这个数据库吗那我们接下来后面的每个函
[24:34] 数要去读写数据库的时候就都得先用这个函数然后用完之后再关闭就可以了当然也有一些数据库它是打
[24:42] 开之后不关闭的而是维护一个连接池但是那个有点麻烦我们这样写呢简单也不容易出错就先用这个
[24:50] 方式第三个就是关于键表看一下
[24:56] 这一处呢是比较特殊因为文件里面原来就没有对应的这个代码因为关系型数据库是
[25:04] 先定表结构然后再往里面放数据的所以呢有些人会单独先去操作数据库用命令或者是用
[25:12] 数据库管理软件来去建表然后让这个项目代码呢对接到自己建好的这个数据库上读
[25:21] 写已经建好的那些表接下来再写一份数据字典给到项目这边做对接用但是我不推荐这种方式
[25:29] 尤其是现在大家都用AI写代码嘛我就更不推荐这种方式最好的方式就是把数据库的所有的操作
[25:37] 包括SQL语句都在这个项目里面去管理起来所以呢我们就把这个键表语句直接放在代码里
[25:45] 面大家可以在这个课件里面复制这个就这一段这里面直接就已经有键表
[25:53] 语句了
[25:56] 键表语句上一节我们已经学过了所以这个键表
[26:04] 语句也没什么好讲的复制过来呢复制过来的这一段我们也只需要关注它有哪些字段名
[26:12] 和这个它表名是什么ID呢还是一样而是一个自增字段但是这个creative
[26:21] IF NOT EXISTS这个我们需要注意一下因为我们不需要每次运行代码都键一次
[26:29] 表对吧只需要键一次就够了所以这个ifnotexist它的意思就是说如果还
[26:37] 没有这个表就按照这个语句来键如果已经有了就跳过好那接下来我们看第处下面这
[26:45] 一处呢就是把这个save_record去换成SQL的写法原来
[26:53] 的写法是这个操作文件嘛现在呢我们就给它换成这种用SQL语句来去插入一条数据的
[27:01] 这种写法复制到这里把它给换掉大家
[27:09] 注意哈这里面所有的值都没有直接进到这个CQ语句里面而是在这里
[27:17] 面用问号做了站位是吧它把值呢是放在后面的这个参数里面就是这个用一个中括号口的这个参数里面就是这个用一个中括号口的这个参数
[27:24] 里面就是这个用一个中括号口的这个参数里面就是这个用一个中括号口的这个参数里面就是这个用一个中括号口的这个参数里面就是这个
[27:25] 用一个中括号口的这个参数里面扩起来的一个列表然后分别传给这些问号最后把他们一起交给这个exec
[27:33] ute这个是为什么大家已经知道了对不对上一节我们讲过这个是防SQL注入的时候定的规矩另外还有一个细
[27:41] 节就是这个时间戳我们用的是接口里面给我们传过来的就是直接在调用
[27:50] 的时候给我们传过来的一个时间这个和上一节我们存电影的时候的那个时间字段的生成方式就不一样上
[27:58] 一节我们用的是sqlite它自带的那个叫datetime('now')是吧那个是图的省事但是现在这个项
[28:06] 目里面这个analyze它就有点不一样因为它里面是本来就先生成的就是用
[28:14] Python生成的一个时间接下来它只是顺便把它生成的这个内容给存起来的所以我们就不用
[28:22] 让sqlite绑我们去生成时间了我们就直接用Python生成的时间这两种做法都行没有
[28:30] 什么对错之分我们挑一种就别混用就行我们现在就挑的就是直接用这个时间好这个
[28:39] 也改完了我们接下来再看下一处下一处就是gethistory原来
[28:48] 是写三行现在我们给它变成用sql语句来去操作
[28:56] 好复制然后粘贴到这里
[29:04] 这个地方挺有意思大家看原来的这个文件板要去自己动手去
[29:13] 做那个三件事全量读自己倒序自己切片然后现在换成了语句以这个sql语
[29:21] 句这里面的limit也是用了这个问号站位符对吧末尾的这个fetchall上一节我们也讲过就是
[29:29] 把结果一次性的拿成一个列表也就是说如果这里面limit是条那这个all就是条如果
[29:37] 是
[29:39] 那这个all就是最后这里面有一个这个for循环这个就是给取回来的这些值转化成比较友好的
[29:47] 格式这个你知道就行了我们就不细说了虽然说从原来的这个三行操作就是这三行操
[29:55] 作变成了一行sql语句是吧但是我们也可以看到现在我们的这个
[30:00] 代码函数明显是增加了这个呢是因为数据库它引入了更多的规矩嘛好
[30:08] 接下来还有第处第处呢就是这个loadhistory这个function这个
[30:16] 函数呢原本是用来把这个整份数据读到内存里面的但是呢它以后就没有人再去调用
[30:24] 了所以我们就直接可以把它给删了这就是第处的变化
[30:30] 可以对比一下在这里面这些我们就都已经改完了这几处改完这个storage
[30:38] .py这个文件就已经完全改完了课件里面呢大家也可以找到它改完之后的
[30:46] 这个完整的代码大家可以对着再检查一遍不要漏也不要错那我们现在的这个
[30:54] storage.py这个文件它就和这个json或者说这个history.
[31:02] json这个文件就没有什么关系了我们现在是彻底换成了数据库但是改完这个storage.
[31:10] py这个文件还不算完在这里面也得改点东西主要呢就是我们刚才定义了一个新的函
[31:18] 数是什么呢就是这个这个init_db现在我们的main.
[31:26] py启动呢需要先执行一次这个initdb看数据库和表在不在如果不在呢就去建表所以
[31:34] 我们就直接在这个main.py的这个import下面去写上这个
[31:43] initdb初始化数据库但是大家注意到一个事儿没就是现在这个函数
[31:51] 它还没有import进来所以呢我们不能直接就在这用我们还得在这个
[32:00] import里面加上它先写它吧initdb得
[32:08] 这样写然后呢我们这个地方才能够直接去用就这样那也没别的了下面呢这些
[32:17] 什么接口啊包括这些什么黑瓷啊这些这些都不需要变到这儿呢我们今天的重构和数据库
[32:25] 改造工作就已经全部做完了接下来就是验证一下我们仍然回到这里还是重
[32:33] 启一次好
[32:42] 接下来呢我们就在这儿分析一句今晚月色真美好
[32:50] 然后请求一下这个看到了吗今晚月色真美已经在了基本的业务流
[32:58] 程呢就能跑得通不过验证了这个只能说明什么呢只能说明功能和以前一致我们接下来
[33:07] 再亲自看一看数据库是不是真的建了以及数据是不是真的写进数据库了首先在这儿
[33:15] 看到了吧这里有了这个history.db说明什么呢说明数据库已经被创建了然后
[33:23] 呢我们再用这个数据库可视化管理软件然后呢去找到
[33:31] 它找到这个数
[33:40] 据库history表我们也可以在这个在这里面去看到
[33:48] 我们存进来的这一条数据今晚月色真美而且呢这里面ID字段也签发的有对吧说
[33:56] 到这个ID大家可能也注意到了就是APIhistory这里面也返回了这个ID
[34:04] 这个是因为我们代码里面这里面写的是select这个信号嘛所以就把所有的字段都给查出来了我们
[34:13] 原来用文件版的时候是没有这样的一个ID字段的是吧所以这里面就会涉及到这个接口有些变化但是我们
[34:21] 也说过就是往接口里面加字段并不会破坏约定所以这个ID我们就让它继续待着下一节我们还会用到它
[34:30] 另外还有一件事大家也值得关注一下就是这一节从头到尾我们没有打开任何一个前端文件更没有
[34:39] 这个改过前端的代码这个就是分层的意义没有动到这一层我们就不去管这一层的东西现在前
[34:47] 端和后端对话的接口就是这俩这个analyze和这个prof
[34:55] ile这两个接口的边界只要立得住边界后面的东西就可以整个换掉等到我们后面讲部署我打算再讲一下
[35:03] 如何把这个sqlite换成postgres到时候你也会发现我们只需要改存储层就可以了
[35:11] 最后功能做完还有个小事要交代一下第一个就是数据
[35:19] 不进git现在history.db已经是一个文件的形式在我们的项目里面了
[35:27] 它默认会不进git它会被git所去追踪对吧你看在这里面都有一个u这代表git已经发现它了但是
[35:36] 它不应该放到代码仓库里面，数据是运行时产生的每台机器每个环境都应该有
[35:44] 自己的数据它和代码就不是同一类的东西所以我们要在.gitignore里面去加上
[35:52] 它在这里面我们要加一行
[35:58] backend然后点db其实这个已经是我们立的第三
[36:07] 条这一类的规矩了之前我们还说过什么依赖不进对吧所以我们原来什么node_modules
[36:15] 这些就不会放进去还有产物不进包括缓存文件是吧包括我们什么
[36:23] 这种产物这个到我们下一个模块的时候我们还会再分别去看然后到时候我们再说然后第二个善后的
[36:31] 事儿就是history.json这个老的文件怎么办我们就直接给它删掉就行了可能
[36:39] 有的同学会问这里面老的这些数据老的这些记录我们不用搬了吗我们不搬了项目
[36:47] 还没有上线的时候这些历史数据其实也不值钱我们从零开始最轻松但是大家要知道就是真
[36:55] 实的项目里面数据迁移是一门正经的手艺数据迁移的时候老的数据是一条都不能丢
[37:04] 的格式还得对得上今天我们是明确不搬它了把这个东西单独拎出来说也是担心毕竟
[37:12] 这里面包含着数据我就担心黑不提白不提然后这个事就过去了你需要知道真实的项目里面数据
[37:20] 是要迁的并且要求还非常高第三个是ORM这个事儿务
[37:28] 必要跟大家介绍一下在有些项目里面很多人是不会直接在代码里面手写SQL而是
[37:36] 会用ORM如果我们去看FastAPI的官网的tutorial我们也会看到它看一下
[37:45] 这里面也
[37:53] 有ORM的介绍换成中文你看
[38:04] 到这里他
[38:12] 介绍了一个叫做SQLModel的东西这个就是一个ORM的库我们去看一看它是怎么写的这里面比如
[38:20] 说像键表看到了吗就是这样写然后创建一条数据
[38:28] 然后读取数据是这样其实跟我们写SQL的写法大概都是
[38:36] 差不多的比如说这里面也会有什么limits然后在创建的时候也是要去定义不同的字段的值
[38:44] 并且再去创建的时候也是需要有什么commit什么的包括
[38:53] 删除也是一样你看它删除也是要有一个commit但是它就是跟我们现在写
[39:01] SQL的这种方式不一样除了我们现在是用Python去写然后它会有这个ORM你其他的语言框架里
[39:09] 面也会有像Java包括PHP都各自是有自己的这个ORM层的实现的ORM的意义是什么
[39:17] 它就是可以让写后端的人不用写SQL了它还是用这种后端语言去操作比如说用Python语法来对
[39:25] 数据库进行增删改查但是说实话其实数据库不管你用Python写还是用Java写或者PHP写
[39:34] 数据库那头它都是只认SQL的所以ORM里面写的东西最终还是得转换成Ccode
[39:42] 然后再给到数据库转换的工作谁来做就是ORM框架自己这个ORM怎么用咱们就不讲了你知道
[39:50] 它是个啥就行了然后最后一件就是索引上一节我们讲过索引想要查的可以见索
[39:58] 引并且我们还说经济
[40:00] 经常拿来排序或者经常拿来筛选的列才值得去见索引那我们回头看这个history这个表
[40:08] 这里面的这些字段我们每次查的时候我们是按照什么查呢我们都是
[40:16] 按照这个创建时间查对不对可以看一下代码我们每次查的时候都是这个order
[40:24] bycreated_at那如果要见索引的话就值得给这个creditat这一个字段去见一个索引索引怎么见
[40:32] 呢其实也是一句SQL语句我们可以直接在这个数据库可视化工具里面我们可以直接在这去
[40:41] 执行SQL然后去给它创建索引同时呢我们也可以用Python的REPL模式来去执行SQL来去创建索引就像我们
[40:49] 上一节做的那样但是这些方式我都不推荐我希望大家把所有的创建表创建索引的语句都
[40:57] 放到代码仓库里面来管理刚才创建表的那个这个语句它就是放
[41:05] 在这个文件里面的这个initdb下面嘛那这个创建索引的语句也可以放在这里面大家可以在这个
[41:14] 课件里面哈找到我们的创建索引的这个语句就是这个
[41:23] 我们可以直接复制它把它放到我们就是创建表这个语句下面
[41:31] 就是做完之后就是这个样子直接找到它放在这个下面就
[41:39] 这样注意哈这个ifnotexist
[41:47] 这个还是老搭档如果是第一次那就说明这个索引还不存在那就键以后呢这个索引已经有
[41:55] 了那就跳过这个索引的名字呢就叫做idx就是index然后history_created_at
[42:03] redit这个就是一个惯例的写法idx然后一般就代表索引然后再加上一个表的名字再加上一个
[42:11] 字段的名字这样呢一眼就能够看得出来它是给谁建的好改完之后呢我们后端也重启一下注意
[42:20] 哈在之前我们先看一下这个数据库现在它下面是没有索引的这个就是
[42:28] 索引index它现在是对吧好那我们回头把我们的这个程序不断
[42:36] 程序给停掉然后再重启接下来呢我们进入到数据库这里点这个
[42:45] 找这个refresh哎刷新完之后看到了吗这里面就多出来一个索引了就是这个刚
[42:53] 才我们创建的这个好那现在我们呢这张表就已经有索引了不过我还要说句实话就我们这张表现在
[43:01] 的这种情况建了索引也没有办法更快了因为它就这么现在就这么一条数据嘛就算
[43:09] 我们就是多运行几次也就几十条上百条全表呢扫一遍比眨眼还快所以呢sqlite
[43:17] 它的优化器甚至都可能压根都用不到这个索引数据库是很聪明的有了索引并不代表它总是会用如果
[43:26] 如果数据量特别少那走索引呢还得再回表去拿数据还不如直接去扫索引真正开始省
[43:34] 时间的得是几十万几百万条数据的时候我们现在建的这个索引主要就是想让大家
[43:42] 感受一下怎么给一张表建索引但是大家千万要注意不要学会了建索引就给每一个表的每一个字
[43:50] 段都建上还是那个原则我们只给经常排序经常筛选的列去建索引一张表
[43:58] 挂十几个索引的事真的有人干但是这么干很多时候其实得不偿失大量的索引呢会显著
[44:07] 的拖慢数据的写入速度好那这一节呢我们就到这了我把这个这一节的内容给提交了吧在
[44:15] git里面去写一个commit这个history.json我们把它给删了吧然后
[44:25] 去提叫数据存储换成sqlite好
[44:35] 我们再回头看一下我们这一节干的事儿我们先把man.py然后这个文件做了分层然后拆出来了一个
[44:43] storage.py这个文件先搬家后装修中间还改了limit它的职责
[44:51] 把一次取多少条这个决定还给了调用方的这个位置最后呢历史记
[44:59] 录就从原来的存本地文件改成了存这个history.db但是现在这里存的还是所有
[45:07] 用户的历史记录也就是说他把所有的访客的记录呢混在同一张表里面最后呢可以用就是这个
[45:15] APIhistory去查出来然后但是查出来的就是所有人的所以呢下一节我们要讲会话让服务器
[45:23] 呢能够认出来不同的请求是不是来自同一个浏览器给每一条记录盖上它的记号有了这个能力之
[45:31] 后呢就可以让用户在页面上看到自己的历史记录了并且只能看到自己的历史记录看不到别人的等下一节会话
[45:40] 讲完我们这个模块就算真正的收官了我们下一节见
